23543379
/m/06w3wnj
/m/06w3wnj
David Almond
1999
a 5
abandoned 1
about 1
accepted 1
after 3
alcoholic 1
allie 3
also 1
alzheimers 1
an 4
ancestors 1
and 15
angry 1
another 1
are 2
arguments 1
art 1
as 2
askew 6
askews 3
at 3
away 1
back 3
be 1
because 1
before 1
begins 1
being 1
bobby 2
books 1
bring 1
bush 1
but 1
called 1
carr 1
cave 1
change 2
character 1
characters 1
children 2
chosen 1
classes 1
climax 1
closed 1
coalmining 1
comes 1
concludes 1
confront 1
connect 1
dangerous 1
days 1
death 4
dies 2
disasters 1
disease 1
drinking 1
each 1
early 1
end 1
ending 1
energy 1
escape 1
exminer 1
expelled 2
fading 1
families 3
family 1
father 2
finds 1
follows 1
for 4
friends 1
from 6
full 1
game 6
getting 2
ghost 1
ghosts 1
go 1
grandfather 4
grandfathers 1
grandmother 1
group 2
hardships 1
have 2
he 4
him 3
himself 1
his 10
history 1
in 7
including 1
initial 1
into 1
invited 1
is 7
it 1
john 1
keenan 1
kit 10
kits 2
known 1
lak 1
leader 1
life 2
lives 1
location 1
longer 1
lost 1
mad 1
madness 1
man 1
measkew 1
meets 1
memories 1
mine 2
mines 4
mirrors 1
miss 1
moved 1
multiple 1
named 1
no 1
noting 1
novel 1
now 1
occasions 1
of 10
old 2
on 1
once 1
one 1
other 1
part 3
perspective 1
play 1
playing 1
plays 1
reenact 1
reveal 1
runs 1
school 2
see 2
sends 1
shadowy 1
shafts 1
snapping 1
some 1
stoneygate 1
stoneygates 1
stops 1
story 3
succumbing 1
such 1
surrounds 1
take 1
takes 1
tale 1
teacher 1
telling 1
tells 2
that 3
the 28
their 1
them 1
they 6
thirteenyearold 1
this 1
through 1
to 12
town 2
two 1
uncovers 1
undergoes 1
watsons 1
were 2
when 1
where 1
which 1
while 1
who 4
with 2
worked 2
wrote 1
youaskew 1
youth 1
