10914498
/m/02qtwsz
/m/02qtwsz
Caroline Lawrence
2003-06-19
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
7 1
a 8
about 3
ad 1
after 2
alarminglooking 1
also 1
an 1
and 12
animals 1
another 1
are 1
aristo 1
around 1
as 2
atlas 1
attitude 1
be 1
believe 1
betrothal 1
bird 1
blames 1
book 1
bull 1
but 1
by 2
capture 1
cartilia 5
change 1
children 2
clears 1
cretan 1
deadly 1
destroys 1
detective 1
detectives 1
determined 1
diana 1
discover 1
disturbed 1
dolphins 1
dream 1
during 1
enemies 1
escape 2
escaped 1
even 1
events 2
eventually 1
excited 1
exotic 1
explains 1
fall 1
family 1
father 2
festival 1
fever 1
financially 1
first 2
fiveday 1
flavia 5
following 1
for 1
fortunehunter 1
fountain 1
friends 1
from 1
further 1
geminus 1
generally 1
gladiator 1
gossip 1
guided 1
her 7
hercules 1
his 1
household 1
however 2
hydra 1
important 1
in 3
including 2
insisting 1
is 10
it 2
jupiter 1
just 1
labours 1
ladylove 1
laurentum 1
lead 1
like 1
lion 1
loss 1
love 1
make 1
maneaters 1
many 1
marcus 3
meet 1
months 2
more 1
murderess 1
myrtilla 1
mystery 1
narrowly 1
new 1
news 1
nicknamed 1
novel 1
of 12
on 1
or 2
ostia 4
others 1
people 1
pick 1
piece 1
places 1
plague 1
playing 1
poplicola 1
possible 1
precursor 1
prove 1
quo 1
running 1
saturnalia 1
scraps 1
secret 2
set 1
seventh 1
several 1
she 2
should 1
sick 1
sickness 1
signs 1
sister 1
six 1
solved 1
some 2
starts 1
status 1
still 1
stop 1
strange 1
such 2
suffering 1
sweeps 1
talking 1
tavern 1
that 3
the 26
their 1
these 1
they 1
three 1
through 1
time 1
to 3
together 1
trail 1
trust 1
truth 1
try 1
twelve 1
unconventional 1
uncovering 1
unexpectedly 1
unhappy 1
up 1
upset 1
wave 1
when 2
which 3
widow 1
wild 1
will 2
winter 1
witch 1
with 1
wrongdoing 1
