1733103
/m/05ry41
/m/05ry41


{"/m/0dwly": "Children's literature"}
10 1
14 1
158 1
a 13
about 2
after 1
age 1
all 3
also 1
always 1
an 1
and 10
anders 12
anna 2
another 1
any 2
anyone 1
are 4
arrives 1
asks 1
at 13
badly 1
barrack 2
be 4
beaten 1
because 2
bed 3
believe 2
better 1
boys 2
bullied 1
bullies 1
bullying 1
but 2
by 2
call 1
camp 6
can 3
cannot 2
cant 1
change 1
commits 1
complains 1
contact 1
damaged 1
days 1
decide 2
different 1
difficult 2
direction 1
discovers 1
does 2
dont 1
eats 1
either 1
end 1
even 1
everyone 1
everywhere 1
exactly 1
exams 1
far 1
fastest 1
father 6
fathers 1
feet 2
few 1
fight 1
finally 1
find 1
finds 2
finished 1
fix 1
football 1
for 7
forces 1
friend 1
gets 2
getting 1
girl 1
ground 1
hand 1
handle 1
hanging 1
hangs 1
hardly 1
has 2
have 4
he 24
him 12
himself 2
his 17
home 3
honom 1
house 1
how 3
however 1
if 1
imbecile 1
in 8
increasingly 1
into 1
is 11
it 5
kallar 1
know 2
late 1
later 2
latins 2
leader 1
leaders 2
leave 1
left 1
let 1
life 1
like 1
likes 1
looks 1
lot 3
low 2
many 1
matches 1
maybe 1
method 1
micke 9
might 1
mistreated 1
mistreats 1
model 1
moment 2
money 1
morning 1
mother 3
moving 1
much 2
needed 1
needs 1
neighbours 1
nickname 1
not 4
number 3
of 7
old 1
on 2
one 3
only 1
open 1
openness 1
other 4
out 1
owes 1
parents 1
peers 2
people 3
place 1
play 1
points 2
pull 1
put 1
railway 1
rapes 1
reached 1
react 1
reputation 1
requires 1
results 1
roos 1
running 1
school 6
sdra 2
sea 1
seems 1
sees 1
sell 1
send 1
severely 2
situation 1
small 2
so 2
sometimes 1
sports 1
starts 1
story 1
strong 1
suicide 3
summercamp 4
swim 1
tells 3
ten 1
than 1
that 6
the 29
their 1
there 2
therefore 1
they 3
think 1
this 3
through 1
throw 1
time 2
times 2
to 15
together 1
too 2
total 1
track 1
trains 1
tries 2
troubles 1
trust 1
unable 1
up 2
usually 1
very 1
vi 1
visits 2
want 1
wants 1
watch 1
week 1
weeks 2
when 5
where 1
which 1
who 1
will 1
wins 1
with 1
wont 1
work 1
would 1
year 1
years 1
