10470026
/m/02qf1mn
/m/02qf1mn
Juan Gómez-Jurado
2007
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery"}
a 2
about 1
abuse 1
also 1
american 1
an 1
and 2
another 2
anthony 1
army 1
been 1
before 1
book 1
brutally 1
by 1
called 1
cardinal 2
case 1
chapel 1
church 1
could 1
cover 1
cut 1
days 1
dead 1
death 1
desperate 1
dicanti 1
dies 1
examining 1
eyes 1
far 1
father 1
find 1
following 1
for 1
former 1
found 2
fowler 1
from 1
gouged 1
grisly 1
had 1
hands 1
he 1
his 2
imagine 1
in 5
inspector 1
intelligence 1
investigation 1
is 2
joined 1
killer 2
knows 1
learns 1
mdash 1
more 1
murdered 1
off 1
officer 1
paola 3
police 1
pope 1
possibly 1
priest 1
recently 1
rome 1
sexual 1
soon 1
than 1
that 1
the 7
to 1
tortured 1
victim 1
was 1
who 1
