352521
/m/01zgb1
/m/01zgb1
Daniel Defoe
1722-01
100 1
1683 1
20 1
42 1
5 1
50 1
6 1
a 37
abominable 1
about 1
abused 1
account 1
acknowledges 1
act 1
actually 1
admit 1
adolescence 1
adulterous 1
after 6
again 2
aged 1
alive 1
also 1
although 1
always 1
am 1
america 1
an 2
and 28
another 2
any 2
arrangement 1
arrival 1
artful 1
as 5
at 3
attached 1
attract 2
author 1
available 1
avoid 1
back 1
banker 5
bankrupt 2
bath 2
be 4
bearing 1
beau 1
beauty 1
becomes 3
becoming 1
bed 1
before 2
begins 2
behind 1
being 1
believe 1
belly 1
best 1
biological 1
birth 2
blessing 1
book 1
born 1
both 1
breaks 1
brings 1
brother 4
brotherhusband 2
burglary 1
burning 1
but 6
by 6
can 1
captain 2
care 3
career 1
carefully 1
case 1
catholics 1
charge 1
charm 1
cheated 1
child 2
children 5
class 1
colonies 2
commits 2
con 1
confined 1
conniving 1
continent 1
continuing 1
convert 1
convict 1
convicts 1
convinces 2
costs 1
countrywoman 1
creature 1
criminals 1
custom 1
dead 1
death 1
denies 1
despair 1
desperate 1
desperation 1
develops 2
died 1
dies 2
discharges 1
disguise 1
dissolves 1
divorce 2
do 1
does 3
downside 1
dowry 1
due 1
easy 1
elder 1
elsewhere 1
emphasizes 1
employing 1
england 2
entire 1
entrusts 1
even 1
eventually 3
ever 1
exchange 1
executions 1
expected 1
fact 1
family 1
farm 2
fate 1
fault 1
felony 1
femininity 1
finally 1
financial 1
first 3
five 2
flanders 2
flees 1
following 1
for 9
forget 1
fortune 1
fortuned 1
foster 1
found 2
from 1
gentleman 2
gentlemantradesman 1
get 1
gets 1
given 1
gives 4
goes 2
going 1
gold 1
goodly 1
great 2
guilty 1
had 1
halfbrother 1
hammersmith 1
hanging 1
happily 1
happiness 1
hardheartedness 1
has 3
have 3
having 3
he 14
heir 1
help 1
her 49
here 1
herself 3
him 5
himself 1
his 7
honing 1
hoping 1
house 1
household 1
how 1
husband 7
i 1
illness 1
impossible 1
in 24
income 1
inherit 1
inheritance 1
inlaws 1
innocent 1
insanity 1
instead 1
into 3
introduces 2
involved 1
is 24
it 4
jailed 1
kept 1
kindly 1
known 1
lancashire 4
last 1
leading 1
leads 1
learns 2
leaves 2
leaving 2
led 1
left 2
lets 1
level 1
lied 1
life 1
like 2
live 5
lived 1
lives 2
london 2
loved 1
lover 1
makes 3
man 4
marriage 4
married 2
marries 2
marry 3
maryland 1
match 1
me 1
mentions 1
met 1
midwife 1
might 1
minister 1
mistake 1
mistress 1
moll 19
money 3
mother 7
motherinlaw 1
name 3
nevertheless 1
new 1
newborn 1
newgate 3
no 1
nor 1
not 5
now 6
of 21
off 2
on 3
once 1
one 5
only 1
order 1
over 1
own 2
passing 1
penitence 1
per 1
perfectly 1
persuades 1
plantation 1
platonic 1
pleading 1
possess 1
pregnant 2
pretends 1
prevented 1
prior 1
prison 2
proposes 1
provide 1
providing 1
quaker 1
quarters 1
raised 1
realises 2
receive 1
reference 1
relationship 2
repentance 2
repents 1
reprieve 1
resorts 1
return 1
returns 2
reunites 1
reveal 1
reveals 1
rich 1
robberies 1
robbing 1
roman 1
ruined 1
said 1
same 1
scale 1
second 2
security 2
seek 1
seems 1
sent 2
sentence 1
servant 1
servants 1
severe 1
she 25
ship 1
should 1
sincere 1
skill 1
skills 1
social 1
sold 1
some 1
something 1
son 4
sons 1
soon 1
sought 1
soulmate 1
spendthrift 1
staying 1
steward 1
still 2
stolen 1
stoops 1
story 1
suicide 1
sum 1
supposedly 1
take 1
taking 1
talks 1
telling 1
tells 1
that 8
the 37
their 6
them 1
then 3
thereby 1
they 6
thievery 1
this 2
three 3
time 3
to 41
together 3
transported 1
travels 1
tripartite 1
truly 1
try 1
turn 1
two 4
unstated 1
until 1
unwilling 1
upon 1
value 1
virginia 2
waiting 1
was 2
watch 1
we 1
wealthy 1
well 1
were 1
what 1
when 2
where 2
which 4
while 2
who 5
whom 2
whore 1
whose 1
wicked 1
wickedness 1
widow 1
widowed 1
wife 4
will 2
with 13
wits 1
woman 1
year 2
years 4
yet 2
younger 1
yours 1
