657134
/m/02p2sf4
/m/02p2sf4
Patrick O'Brian
1981
20gun 1
32gun 1
80gun 1
a 20
aboard 1
about 1
accident 1
act 1
acting 1
admiral 8
after 4
against 1
agent 2
all 1
allows 1
also 1
although 1
an 3
and 32
another 2
anything 1
appoints 1
are 2
area 1
aristocratic 1
arrives 1
as 5
ashore 1
asked 1
at 2
atlantic 1
attempt 1
aubrey 2
awry 1
babbington 2
babbingtons 1
back 1
ball 1
barka 1
be 2
because 1
been 2
before 3
befriends 1
berth 1
bey 2
beys 1
bird 1
blind 1
blockade 3
board 2
book 2
both 1
brig 1
bring 1
british 10
brought 1
but 6
by 5
cables 1
can 1
cannon 1
cannons 1
captain 4
captured 1
captures 2
carriage 1
catch 1
causes 1
changes 1
chase 2
choir 1
citadel 1
city 3
claimants 2
claims 1
clear 1
coast 1
coastal 1
command 2
commander 1
commanderinchief 1
commanding 1
complexity 1
confrontation 1
confusion 1
consul 1
consulting 1
continue 1
control 1
could 1
covert 1
crew 5
crown 1
crupulous 1
culminating 1
cut 1
days 1
deliver 1
dented 1
despite 1
deteriorates 1
diana 1
didnt 1
direction 1
disappointment 1
discovering 1
do 2
down 1
driven 1
drives 1
drunken 1
dryad 3
duck 1
dunes 1
during 2
each 1
earlier 1
embark 1
engagement 1
enter 2
enters 1
envoy 1
evade 1
eventually 1
exchange 1
exchanges 1
excited 1
expected 1
explained 1
false 1
fastest 1
fellow 1
few 1
fight 1
fighting 1
finally 1
fire 2
first 2
fleet 5
for 4
former 1
france 1
french 8
friend 2
from 2
gibraltar 1
gives 1
giving 1
goes 1
goodwill 1
graham 2
groups 1
had 3
hamilton 1
hamlet 1
handpick 1
hands 1
happened 1
harte 4
has 4
hastily 1
have 3
having 2
he 8
hiding 1
him 3
his 13
hms 1
hoping 2
however 2
immediately 2
impoverished 1
improvising 1
in 17
informs 2
injured 1
intention 1
into 4
ionian 1
is 16
island 1
it 2
jack 16
jagiello 1
joins 2
killed 1
kitabi 3
kutali 1
lambert 1
land 1
late 1
latter 1
launch 1
laws 1
leave 1
leaves 2
leaving 1
lieutenant 3
lieutenants 1
location 1
long 2
lover 2
mahon 3
malta 1
marga 1
marsh 1
martin 1
maturin 1
meantime 1
medina 1
mediterranean 1
meet 2
meeting 2
menofwar 1
mercedes 1
midshipmen 1
miss 1
mission 3
more 1
mowett 2
mr 2
must 1
mustapha 1
mustaphas 1
neutral 1
neutrality 1
new 1
not 1
now 1
occupier 1
of 13
off 2
officers 1
old 1
on 2
one 3
opens 1
oppose 1
ordered 1
orders 1
other 2
ottomans 1
out 2
over 1
overcome 1
overtakes 1
paid 1
parson 1
part 1
party 1
pasha 1
pick 1
plan 1
political 1
port 3
position 1
pounders 1
present 1
presents 1
prisoner 1
prize 1
professor 2
promises 1
pullings 2
put 1
realize 1
rear 1
rebels 1
refuse 1
relationship 1
remove 1
repairs 1
reprimanded 1
reputation 1
required 1
respect 1
return 1
returning 2
returns 1
rigging 1
robuste 1
routine 1
royalists 2
runs 1
sail 3
same 3
sand 1
sciahan 1
sea 1
secondincommand 1
sends 2
sent 2
set 4
sets 1
setting 1
settles 1
several 2
severely 1
ship 6
ships 4
shots 1
show 1
sinking 1
slowest 1
so 2
some 1
somers 3
soon 1
spain 1
spends 2
sporadic 1
squadron 1
stated 1
stating 1
station 1
stays 1
stephen 11
storm 1
strong 1
stumble 1
summoned 1
support 1
surgeon 1
surprise 1
surprises 2
survived 1
take 2
talking 1
tells 1
temporary 1
tempting 1
that 7
the 73
their 3
them 1
then 1
there 1
they 4
thinking 1
third 1
thirtysix 1
this 2
thornton 6
three 2
thrown 1
time 2
times 1
to 37
too 1
torgud 3
toulon 2
transferred 1
translator 1
transport 1
tunis 1
turkey 1
turkish 2
two 4
under 1
uninhabited 1
up 5
upon 3
waiting 2
was 1
what 1
when 1
which 2
while 2
wife 1
will 2
william 1
wind 1
with 8
worcester 5
worcesters 1
worn 1
write 1
