4267719
/m/0bt6_8
/m/0bt6_8
Nathanael West
1934-06-19
a 10
abused 1
after 1
against 1
alexander 1
alger 1
aliens 1
american 2
an 1
and 8
arrested 1
as 3
beaten 1
becomes 1
betty 1
birthday 1
bitter 1
but 1
by 3
calling 1
candide 1
capitalism 1
cheated 1
cool 1
course 1
crowd 1
death 2
dismantling 1
dont 1
down 1
end 2
ends 1
even 1
evocative 1
exploited 2
eye 1
for 1
former 1
frequently 1
from 2
gets 1
gottfried 1
gullibility 1
hails 1
he 2
his 8
holiday 1
honor 1
horatio 1
however 1
in 2
inevitably 1
interest 1
international 1
into 1
is 4
its 1
led 1
leg 1
leibniz 1
lemuel 1
lose 1
love 1
manages 1
manipulative 1
march 1
martyr 1
marxism 1
million 1
myth 1
national 2
nevertheless 1
next 1
novel 3
of 8
one 1
optimism 2
organization 1
out 1
over 1
parallel 1
party 1
philosophical 1
piece 2
pitkin 5
pitkins 1
plot 1
political 1
pope 1
prail 1
presents 1
president 1
prostitution 1
raped 1
rejection 1
retains 1
revolutionary 1
roaring 1
robbed 1
satire 1
satirized 1
scalp 1
schlemiel 1
series 1
shagpoke 1
singing 1
situation 1
sold 1
songs 1
sophistication 1
speaks 1
streets 1
stumbling 1
subtitle 1
success 1
suggests 1
teeth 1
the 12
thumb 1
to 3
troubles 1
typical 1
unjustly 1
voltaires 1
which 1
whipple 2
wilhelm 1
with 2
youths 1
