1390007
/m/04yqrj
/m/04yqrj
David Weber
2004-11-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01smf2": "Military science fiction"}
17 1
a 20
abilities 1
absorbed 1
abuse 1
academy 1
across 2
action 1
actions 1
active 1
actually 1
ad 1
addition 1
afford 1
after 6
against 3
aivars 1
all 1
allows 1
already 1
also 2
among 1
an 7
and 33
annexation 7
antiannexation 1
appears 1
approaching 1
are 7
armed 1
arrested 1
as 3
assemble 1
assign 1
assigned 1
assist 1
at 1
attack 1
attacks 1
attempting 1
aubrey 1
authenticity 1
available 1
avoid 1
background 1
backyard 1
battle 1
battlecruisers 1
be 2
been 3
begins 1
being 4
belongs 1
bomb 2
book 1
both 2
brutal 2
but 1
by 7
campaign 1
campaigns 1
can 2
cannot 1
captain 3
captured 1
cartel 1
casualty 1
causing 1
cements 1
chief 1
choice 1
civilians 1
cleared 1
clearly 1
close 1
cluster 13
combat 1
combine 1
commanded 1
commander 1
completely 1
confederacy 1
conspirators 1
constitutional 2
convention 2
copious 1
corporations 1
costs 1
coupled 1
course 1
crew 7
crippled 1
cruise 2
cruiser 1
cruisers 5
crushes 1
danger 1
dealing 1
deals 1
decimated 1
define 1
defunct 1
delivering 1
demands 1
demonstrating 1
deployment 1
derailing 1
destabilize 1
destroyed 2
destroys 1
destruction 1
dilute 1
distrust 1
do 1
dropping 1
earns 1
edward 1
either 1
embark 1
embroiled 1
encounter 1
enemies 1
entangled 1
entry 1
events 1
evidence 1
excuse 1
execution 1
expel 1
exsolarian 1
eyes 1
facilities 1
fear 1
few 1
finding 1
firebrand 1
first 2
five 1
flag 1
fleet 2
focuses 1
following 1
for 7
force 2
forces 1
foreign 1
formal 2
former 2
forward 1
freighter 3
from 3
frontier 1
ginger 1
give 1
giving 1
goal 1
goodwill 2
government 2
governments 1
greeted 1
group 1
groups 4
guard 1
half 1
hardpressed 1
has 3
have 1
haven 2
he 1
heavy 1
helen 1
her 2
heroes 1
hexapuma 10
him 1
his 1
history 1
hms 1
hoc 1
honor 1
honorverse 1
however 1
hundreds 1
important 1
impoverished 1
in 18
incorporated 1
indicating 1
indigenous 1
influence 1
initially 1
initiating 1
inspection 1
insufficient 1
intelligence 1
interests 2
internal 1
intervene 1
intervening 1
into 3
invading 1
is 11
it 1
its 4
jessyk 1
killing 1
kingdom 3
kitty 1
kornati 2
larger 1
lasers 1
launch 2
league 2
lewis 1
liberate 1
like 1
local 4
looking 1
lure 1
main 1
majority 1
manages 3
manticoran 5
manticore 10
many 2
meantime 1
members 2
merchant 1
merchantman 2
merely 1
mesa 2
middle 1
midshipmenone 1
missiledefense 1
mission 1
modern 1
monica 2
monican 2
montana 2
most 1
move 1
multi 1
must 1
nasty 1
native 1
naval 5
navy 4
new 1
next 1
nicknamed 1
no 2
nordbrant 1
not 2
novel 2
novels 1
occupy 2
of 51
offense 1
office 1
officer 2
ofs 6
oligarchs 1
on 3
onboard 1
once 2
one 3
only 1
opposed 1
oppressors 1
or 2
order 1
other 2
out 1
over 1
own 1
panics 1
parts 1
patrol 2
patrolling 1
pawns 1
peace 1
people 1
peoples 1
perform 1
petty 1
pile 1
pinnace 3
piracy 1
pirate 2
pirates 1
place 1
plan 3
planetary 1
planets 1
playing 1
policy 1
population 1
possibility 1
power 1
powerful 4
preserve 1
prevent 1
previously 1
prisoner 1
process 2
proxy 1
purposes 1
range 1
reactions 1
real 1
realities 1
reason 1
recently 2
region 1
regional 1
relieved 1
removed 1
renewal 1
republic 1
resents 1
resources 1
response 1
return 2
role 1
royal 1
ruling 1
saganami 1
saganamicclass 1
same 1
scenes 1
second 1
sectors 1
security 1
seen 1
sends 1
senior 1
series 1
service 3
several 1
shakedown 1
she 1
ships 1
shooting 1
show 1
side 1
silesian 1
simultaneous 1
single 1
slaughter 1
slaver 1
small 1
snotty 1
so 1
solarian 1
some 2
soverieign 1
space 1
sponsored 1
squadron 3
stalled 1
stalling 1
star 4
step 2
story 2
strife 1
strongarming 1
struggles 1
stumble 1
stumbling 1
summary 1
supplied 1
support 1
supporting 1
surprise 1
surrender 2
surviving 2
system 2
systems 3
taking 1
talbott 2
tasked 1
terekhov 5
terekhovs 1
terkhov 1
terms 1
terrorist 4
terrorists 1
that 4
the 91
their 6
them 1
then 1
they 1
theyre 1
this 1
those 1
though 1
thus 1
time 1
to 28
too 1
transferred 1
tricking 1
two 2
under 1
until 1
unwitting 1
up 2
used 1
validate 1
veteran 1
viewed 1
violently 1
vocal 1
wanderman 1
want 1
war 4
wary 1
was 1
way 1
wealth 1
weapons 2
welcome 1
well 1
westman 2
when 1
which 4
while 3
who 5
whose 1
will 2
with 13
within 3
without 1
world 1
worlds 1
zilwickifresh 1
