916002
/m/03pm3t
/m/03pm3t
Richard Morgan
2004
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
204 1
48 1
a 16
acropolitic 1
affair 1
ageing 1
agencies 1
agrees 1
aligned 1
also 1
american 1
among 1
an 2
and 6
are 1
areas 1
arranging 1
as 3
associates 1
at 2
back 1
badly 1
barranco 3
beating 1
beats 1
becomes 1
before 3
befriends 1
begins 1
bridge 1
bring 1
brings 1
brutal 1
bryant 1
but 3
by 8
capital 1
carla 1
challenge 2
challenged 1
choice 1
chris 16
colombian 2
competing 3
competition 1
condition 1
conflict 1
contract 1
countries 1
country 2
coverup 2
death 1
demands 1
dictator 2
division 1
domestic 1
drive 1
driver 1
driving 3
due 1
duel 3
during 1
echevarria 3
echevarrias 1
efforts 1
eliminates 1
ends 2
exchange 1
executive 3
executives 1
face 1
failed 1
famous 1
father 1
faulkner 1
favour 1
fellow 1
finds 2
firm 3
firms 1
flee 1
for 7
forces 1
former 1
francisco 3
gang 3
gathering 1
general 1
ghetto 1
giving 1
gross 1
group 1
had 2
he 5
help 1
her 2
hernan 3
him 2
his 4
hours 1
however 1
in 15
incite 1
information 1
injured 1
insider 1
installing 1
into 2
introduces 1
investment 2
is 7
issued 1
jail 1
job 1
journalist 1
junior 1
just 1
kills 2
knowing 1
leave 1
led 1
legally 1
linshaw 2
lives 1
liz 2
london 2
londonthere 1
marriage 1
meanwhile 1
members 1
merits 1
mike 9
military 1
mistress 1
mother 1
murder 2
must 1
nakamura 1
nations 1
negotiate 1
new 3
of 5
off 1
offered 1
on 2
or 1
other 2
over 2
overhear 1
overthrow 1
participate 1
performance 1
portion 1
position 3
preparing 1
product 1
project 1
propping 1
providing 1
punishment 1
reacts 1
rebel 1
recruited 1
recruits 1
regarding 1
relationship 1
renewal 1
resists 1
resources 1
robbery 1
sabotage 1
saying 1
secure 1
senior 3
settled 1
several 1
shorn 5
social 1
son 1
spontaneously 1
stand 1
story 1
stress 1
superior 1
survives 1
sweden 1
take 1
takes 1
team 1
teams 1
television 1
the 27
their 1
them 1
they 4
to 8
trial 1
two 1
uncomfortable 1
united 1
up 1
vincente 1
violence 1
watched 1
which 1
who 5
wife 1
with 10
work 1
zones 4
