6623411
/m/0gf6qn
/m/0gf6qn
Richard Calder
1992
1 1
10 1
11 1
12 1
13 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
a 36
ability 1
accompanied 1
according 1
acts 1
actually 1
afterwards 1
against 1
ago 1
agogo 1
agrees 1
all 1
allow 1
allowing 1
also 1
american 1
americans 1
amount 1
an 2
and 62
another 1
apologises 1
appears 1
are 15
around 1
as 6
ask 1
asks 1
assassin 1
assassinating 1
at 7
attacked 1
attempt 1
attention 1
automata 1
away 1
back 1
bangkok 1
be 2
beata 1
beatrix 1
been 5
begins 2
begs 1
being 3
believes 1
below 1
betrayed 2
betraying 1
beyond 1
big 2
black 1
blackmailed 2
blood 1
boat 1
bobinski 1
boss 1
bought 1
brains 1
breakouts 1
britannia 1
british 2
bugged 1
built 1
but 6
by 23
called 4
can 4
captured 4
cartier 7
castrated 1
cauterize 1
channel 1
chaperoned 1
childhood 1
circuits 1
city 2
classical 1
clones 1
clothes 1
cocoons 1
collapses 1
collision 1
comic 1
company 1
complete 1
completion 1
condition 1
confront 2
consciousness 3
consists 1
consort 1
constantinescu 1
constructing 1
continues 1
control 1
controls 1
convince 1
copy 1
corpses 1
corruption 1
countries 1
created 2
creation 1
cruel 1
culling 1
cured 1
dark 1
dead 2
death 4
decide 1
deeper 1
demand 2
depose 1
dermaplastic 1
descendents 1
desperadoes 1
destabilise 1
destroying 1
determines 1
development 1
dies 1
different 1
disprove 1
doll 4
dollkiller 1
dolls 9
down 2
dr 6
dream 2
dreamers 1
dreams 2
due 2
dummy 1
during 1
dust 1
east 1
election 1
embassy 1
employee 1
end 1
enemies 1
engaged 1
engineer 1
england 3
english 1
enough 1
enter 1
entrance 1
escape 2
escaped 1
escapees 1
escort 1
europe 1
examine 1
execution 1
explains 1
explodes 1
fairy 1
fake 1
family 1
father 3
figures 1
files 1
filled 1
find 4
flee 1
flooded 1
followed 1
following 1
for 8
foreign 2
former 1
friend 1
from 12
front 2
fucking 1
full 1
gaining 1
gazes 1
genuine 1
geographically 1
get 1
gets 2
girdle 3
girl 1
girls 1
gives 2
go 1
going 1
government 1
grace 1
greatest 1
green 1
group 1
guard 1
guards 1
gunn 2
guns 1
gynoids 1
had 4
halfrobot 1
halfrobotic 1
harnessed 1
has 8
have 2
having 2
he 6
head 1
heard 1
heart 1
help 1
her 34
herself 5
hide 1
hideout 1
him 2
his 9
ho 1
hologram 1
home 1
hostile 2
hotel 1
housemaid 1
how 1
human 4
ignatz 34
impalement 1
impotence 1
in 19
indoctrination 1
induce 1
inert 1
infect 2
infected 4
infecting 1
infection 1
information 1
inhibiting 1
inserts 1
inside 3
instill 1
instructs 1
instruments 1
into 5
invented 1
is 21
it 3
jack 6
job 1
josephene 2
jumping 1
keeping 1
key 3
kill 1
killed 1
killing 2
kito 23
last 2
leave 1
led 2
lie 1
light 1
lilim 12
living 3
locked 1
london 4
longer 1
look 1
lose 1
loss 1
love 1
madame 2
made 1
magic 5
make 1
manage 1
manchester 1
matrix 6
mechanical 2
medical 1
meet 3
mekong 1
mememoids 1
men 2
mimic 1
money 1
morgenstern 17
morgentren 1
mosquito 2
nana 3
nanobots 1
nanomachines 2
nanovirus 3
needs 1
negotiating 1
new 1
nightmare 1
no 2
not 1
now 1
nowhere 1
numbers 1
of 34
old 1
on 5
one 2
only 2
order 1
orders 1
organising 1
original 2
out 2
outbreak 1
over 2
own 3
pair 3
palace 1
paramedics 1
paris 1
passes 1
patterns 1
penthouse 1
peter 6
phallic 1
physically 1
pikadon 6
place 2
plague 4
playground 1
policemen 1
policy 1
present 1
previously 1
primavera 45
prison 1
private 1
process 1
programme 1
prompting 1
psychic 1
quantum 10
quantummechanical 1
quarantined 2
queen 2
questions 1
realises 1
reality 2
reanimated 1
regarding 1
rehires 1
release 1
remove 2
render 1
rendered 3
replaced 1
replacements 1
replicating 1
represented 1
represents 1
requiring 1
rescued 1
research 1
resident 1
response 2
responsible 1
restaurant 2
result 1
return 3
returned 2
returns 1
reunited 1
revealing 1
reveals 2
ripperstyle 1
rivals 2
river 2
road 2
robot 1
robotic 1
roses 1
rumour 1
run 1
runaway 1
running 1
says 2
seat 1
sent 2
service 1
services 1
seven 4
shares 1
she 11
shooting 1
shopping 1
shopwindow 1
shot 1
shows 1
sickness 1
situated 1
slowly 1
smashes 1
so 1
spalanzani 6
special 1
spend 1
spread 2
spring 1
stars 4
start 1
started 1
state 2
stays 1
std 1
stop 1
story 4
strip 1
structure 1
subconscious 1
subconsciously 1
sucked 2
supposedly 1
surgery 1
survive 1
surviving 1
systematic 1
take 1
taken 4
takes 1
tatiana 3
technician 1
telepathic 1
telepathically 1
telling 2
tells 3
thailand 1
thanks 1
that 23
the 85
their 4
them 7
themselves 3
then 2
theory 1
there 1
they 7
thinks 1
this 3
though 2
through 6
time 1
times 1
titania 14
to 58
together 2
told 1
toxicophilous 8
toymaker 1
tracked 1
trade 1
transform 1
transformation 1
transforming 1
transmitted 1
traps 1
tries 3
try 1
tunnel 2
tunnels 1
twins 6
umbilical 2
umbilicus 5
unable 2
unconscious 3
under 2
underground 2
unlocks 1
unreal 1
up 4
us 1
use 2
used 1
uses 2
using 1
vampiric 1
via 2
view 1
virus 4
visit 1
visual 1
vlad 1
vogue 1
wake 2
waking 1
wall 1
want 1
war 1
warehouse 1
was 3
way 1
weird 2
were 1
west 1
westward 1
when 2
where 3
which 2
while 4
whitechapel 1
who 2
whole 1
whose 1
will 2
win 1
wine 1
wish 4
with 18
womb 1
work 2
working 1
workshop 2
world 2
years 1
ylem 1
zwakh 1
