14462075
/m/03d491y
/m/03d491y
Michael Moorcock

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
104 1
141 1
20th 2
a 6
africa 1
africanbased 1
afroamerican 1
air 1
airships 1
allies 1
also 1
alternate 4
an 5
anarchist 1
and 11
apartheid 1
are 2
around 2
ashanti 2
aside 1
attila 1
australianjapanese 1
bantustan 2
bastable 4
be 1
became 1
been 1
between 1
biological 1
black 1
boers 1
book 2
break 1
britain 1
british 1
by 7
century 3
chinese 1
civil 1
colonized 1
conquering 1
control 1
country 1
destroyed 1
devastated 1
devices 1
did 1
dzhugashvili 1
each 1
earth 1
empire 4
encounters 1
enemies 2
english 1
equivalent 1
european 1
federation 1
final 1
finds 1
first 1
fought 1
free 1
from 1
futuristic 1
gandhi 1
general 1
germany 1
great 1
has 1
having 1
himself 1
hostilities 1
imperialist 1
in 9
indianborn 1
into 1
iosif 1
is 6
isolationist 1
it 1
its 1
known 1
land 1
late20th 1
led 2
leviathan 1
mahatma 1
marxist 1
mighty 1
most 1
nation 1
nations 2
neither 1
never 2
new 1
no 1
nominally 1
nor 1
not 1
october 1
of 9
on 1
only 1
opposes 1
opposing 1
or 1
other 1
our 1
out 1
own 1
pacifist 1
peoples 1
place 1
powers 1
president 1
racial 1
ravaged 1
rebel 1
remaining 1
remnants 1
republic 1
revolution 1
rise 1
russian 1
saboteurs 1
set 1
short 1
socialist 1
societies 1
south 1
stable 1
steel 1
still 1
stir 1
sun 1
supported 1
surviving 1
tension 1
terrible 2
the 27
their 1
there 1
these 1
this 2
threatened 1
thus 1
to 3
took 1
transported 1
trying 1
tsar 1
turn 3
under 1
used 1
visits 1
vissarionovich 1
war 4
warlord 1
wars 1
wealthy 2
weapons 1
were 1
western 4
where 2
which 6
whose 1
with 1
witnesses 1
world 6
yet 1
