4178539
/m/0bndt8
/m/0bndt8
Amelia Atwater-Rhodes
2003-07
{"/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
705 1
a 7
ability 1
accidentally 1
adelina 3
after 2
agree 1
alistair 1
all 2
also 1
and 19
andreios 1
appropriate 1
arami 1
are 2
army 1
as 2
assassinate 1
at 3
attempting 1
avian 3
avians 5
battlefield 1
bce 1
be 2
been 1
before 1
behind 1
best 1
between 1
beyond 1
birds 1
bloody 1
bond 1
book 2
brother 2
but 2
by 1
called 2
centers 2
cobra 1
cobriana 3
commander 1
complete 2
consists 1
continues 1
control 2
course 1
critically 1
crow 1
cry 1
culture 1
current 1
danica 9
descended 1
despite 2
destroyed 1
did 1
diente 1
dienteking 1
different 1
discovery 1
do 2
each 2
emotions 2
end 1
even 2
eventually 1
falcondance 1
fall 1
fallen 1
families 1
feelings 1
fighting 2
flight 2
fond 1
for 3
form 1
forms 1
free 1
friend 1
from 2
given 1
goldeneyed 1
gregory 1
gregorys 1
groups 1
grow 1
guard 1
guards 1
has 2
hate 1
have 3
hawks 1
hawksong 1
he 1
head 1
heir 1
her 5
hesitations 1
highest 1
him 1
his 3
holding 1
how 1
however 1
idea 1
in 6
is 12
it 1
joins 1
karl 1
keep 2
kiesha 1
kills 1
kinds 1
king 1
know 1
latest 1
leader 2
learns 1
line 2
living 1
lose 1
love 2
lullaby 1
marry 1
matter 1
member 1
memory 1
might 1
mistari 2
mother 1
naga 1
named 1
no 1
nobody 1
not 3
novel 2
objections 1
of 14
on 2
one 2
opens 1
opposite 1
or 1
other 2
oufits 1
over 2
own 1
pair 1
palace 1
passes 1
passionate 1
peace 1
place 1
prince 2
queen 3
reason 1
rei 1
relationship 1
remembers 1
reserve 1
romantic 1
roughly 1
royal 4
second 2
secretly 1
sends 1
sensual 1
serpiente 4
shapeshifters 3
shardae 1
she 1
side 2
singing 1
sister 1
situation 1
situations 1
snake 1
snakecharm 1
so 1
some 1
sometimes 1
soon 1
started 1
starting 1
stays 2
story 1
strict 1
survives 1
takes 1
temper 1
that 2
the 44
thea 2
their 10
them 1
they 5
tiger 1
times 1
to 8
trip 1
tuuli 2
two 2
union 1
until 2
up 1
uptight 1
view 1
violent 1
viper 1
walking 1
want 1
war 2
warnings 1
wear 1
well 1
what 2
where 1
while 2
white 1
who 2
will 1
wise 1
with 4
wounded 1
young 1
younger 1
zane 8
zanes 1
