19974527
/m/04yfspf
/m/04yfspf
Henry Green
1946
{"/m/05hgj": "Novel"}
13140 1
a 5
acquantance 1
action 1
adds 1
after 3
against 1
amputated 1
an 1
and 6
another 1
as 2
astonished 1
at 2
back 1
background 1
be 1
because 2
been 1
bereavement 1
between 2
britain 1
but 1
calls 1
cannot 1
charley 7
combat 1
comes 1
complex 1
console 1
daughter 1
days 1
death 1
describes 1
detained 1
died 1
due 1
egypt 1
encourages 1
englishman 1
even 1
explanation 1
express 1
father 1
fear 1
finds 1
first 1
flat 1
for 3
france 1
from 1
germany 1
goes 1
grant 2
grave 1
had 1
having 2
he 7
her 4
him 1
his 3
husband 2
ignores 1
illegitimate 1
in 5
is 5
it 1
james 1
killed 1
leg 1
loved 1
make 1
man 1
married 1
met 1
might 1
moroever 1
mr 2
mutilation 1
name 1
nancy 3
novel 2
of 9
on 1
out 1
pilot 1
possibly 1
pow 1
prisoner 1
raf 1
relation 1
repatriated 1
resemblance 1
rest 1
rose 5
scandal 1
sent 1
shock 1
simple 1
so 1
some 1
soon 1
story 1
suffered 1
suggestion 1
summers 2
tells 1
that 1
the 16
there 2
thinking 1
this 2
three 1
to 7
troubled 1
uncanny 1
unfolds 1
very 1
visited 1
wartorn 1
was 3
where 1
while 1
whitmore 1
who 3
whose 1
widow 2
with 1
woman 2
wound 1
wounded 1
years 1
young 2
