1644786
/m/05k5_s
/m/05k5_s
Chuck Palahniuk
2005-05-03
{"/m/0vgkd": "Black comedy", "/m/06nbt": "Satire", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 12
abortion 1
about 2
accidentally 1
according 1
achieve 1
addiction 1
adolescent 1
afterwards 1
age 1
all 3
almost 1
also 1
although 1
an 3
and 7
anus 1
are 1
as 2
asked 2
asphyxiating 1
at 1
attributed 1
avoid 1
away 1
back 1
based 1
basis 1
be 1
become 1
becomes 1
begins 1
bladder 1
blood 1
bottom 1
bowel 1
boy 4
boys 5
breath 2
but 1
by 2
called 1
came 2
candle 1
carrot 5
case 1
causes 2
causing 1
choke 1
college 1
core 1
deposited 1
describes 4
discovers 2
discussed 1
diving 1
drowning 1
duration 1
entirely 1
episode 1
expensive 1
experiences 1
extremely 1
fad 1
figuratively 1
filter 1
finally 1
first 3
flow 1
for 5
forcing 1
free 1
friends 1
from 3
gnaw 1
groups 2
guts 2
had 2
having 1
he 10
heard 1
her 1
hiding 1
him 4
himself 1
his 10
hold 2
how 1
i 1
impregnated 1
in 13
incident 2
incidents 3
innards 1
inserting 2
intake 1
intestines 1
into 3
invisible 1
involved 1
involving 1
is 2
it 6
knew 1
later 2
laundry 2
lower 1
lubricated 2
man 1
massive 1
masturbating 5
meant 1
mentions 1
met 1
money 1
more 1
mother 2
narrator 8
never 3
next 1
numerous 1
of 9
on 2
one 1
orgasm 1
own 1
palahniuk 3
parents 2
passing 1
pay 1
pearl 1
penis 1
pile 1
placed 1
pleasurable 1
pool 2
presumably 1
process 1
prolapse 1
prostate 1
purportedly 1
rates 1
reaction 1
reader 1
rectum 2
reference 1
refers 2
remove 1
requires 1
research 1
resectioning 1
results 1
same 1
sat 1
savings 1
seep 1
semen 1
several 1
sexual 1
shadowing 1
sister 1
slips 1
so 1
spike 1
stayed 1
stick 1
stimulate 2
stopped 1
stories 1
story 3
suction 1
suicide 1
support 1
surgery 1
swimming 1
takes 1
tales 1
tangled 1
teenage 1
telling 1
that 1
the 40
their 2
themselves 1
then 3
these 2
they 2
thin 3
third 2
three 3
through 1
to 17
told 2
true 1
two 1
unnerving 1
urethra 1
urine 1
using 1
waited 1
was 1
water 1
wax 2
what 1
when 2
where 1
which 6
while 6
with 1
young 1
