5024225
/m/0c_c60
/m/0c_c60
Judy Blume
1977
a 11
about 1
accompanied 1
acknowledges 1
act 2
active 1
after 1
almost 1
also 2
an 1
and 13
are 4
artie 2
as 4
at 2
attempts 1
attracted 2
aware 2
be 2
bedroom 1
been 1
begin 1
believes 1
birthday 1
book 1
both 3
boy 1
breaking 1
but 1
buys 1
by 3
called 1
can 1
catches 1
comes 2
common 1
complicated 1
curtain 1
dates 1
depressed 1
depression 1
different 1
do 1
emotional 1
ends 1
erica 3
experienced 1
explores 1
fails 1
feels 1
finds 2
first 1
floor 1
for 4
forever 2
friend 2
from 1
giving 1
go 1
grade 1
hang 1
has 2
hasnt 1
have 1
he 3
health 1
help 1
her 5
herself 2
high 2
himself 1
his 3
however 1
in 3
instructor 1
intimacy 1
is 5
issue 2
it 3
joined 1
katherine 10
known 1
life 2
limitations 1
loss 1
love 1
meetings 1
meets 1
message 1
michael 8
middle 1
moral 1
more 2
mother 1
names 1
necklace 1
new 2
news 1
not 1
of 8
older 1
on 5
one 1
over 1
own 1
painful 1
party 1
physical 2
progresses 1
realizes 1
relationship 3
relationships 1
responsibility 1
rod 1
romantic 1
says 2
school 2
seals 1
senior 1
separated 1
sex 3
sexuality 1
sexually 1
she 2
shower 1
shows 1
since 1
sister 1
slowly 1
some 1
start 1
states 1
strongly 1
successful 1
summer 1
sure 1
surprise 1
takes 2
teenager 1
tennis 1
th 1
than 1
that 6
the 10
their 3
them 2
theo 3
they 3
to 6
together 2
trips 1
two 1
ultimately 1
uncertainty 1
unfolds 1
up 1
various 1
visit 1
when 3
while 2
who 4
will 1
with 2
work 1
year 2
