18290415
/m/04ctqvh
/m/04ctqvh
Thomas C. Lea, III
1952
{"/m/02xlf": "Fiction"}
14 1
1880s 1
a 14
about 1
acquaintance 1
after 4
again 1
age 1
also 1
an 3
and 9
andalusian 1
apache 1
apaches 1
approached 1
are 1
arms 1
as 1
assassinate 1
assists 1
at 1
back 4
be 1
before 1
being 1
black 1
blows 1
brady 6
breaks 1
bredi 1
brother 1
buffalo 1
by 3
called 1
captain 2
castro 4
castros 2
character 1
chihuahua 2
chihuahuan 1
cipriano 3
column 1
confirms 1
criminal 1
crucial 1
daughter 1
deal 1
death 1
deep 1
deliver 1
delivered 1
distrusted 1
division 1
during 1
enamored 1
errand 2
father 2
feel 1
fight 1
fighting 1
flees 1
followed 1
for 4
fourteen 1
friend 1
from 2
general 1
gets 1
guard 1
gun 1
gunpowder 1
has 1
have 1
he 14
head 1
heals 1
helps 1
him 4
hired 1
his 8
horse 1
however 1
identity 1
impossible 1
in 8
indians 1
injured 1
intention 1
into 1
is 8
it 1
joining 1
joins 1
killed 1
killing 2
kills 1
know 1
later 1
learns 1
leg 1
lets 1
lgrimas 1
like 2
load 2
lost 1
louisa 1
makes 1
man 4
marco 1
martin 2
meets 1
mexican 1
mexico 6
murdered 1
murderer 1
named 1
north 1
not 1
now 2
of 8
on 3
ore 1
part 1
prosecuted 1
puerto 3
put 1
rancher 1
ranger 2
rangers 1
return 1
returning 1
returns 1
reward 1
rich 1
rival 1
rucker 1
salcido 1
send 1
sends 1
sent 1
silver 1
smuggling 1
sojourn 1
soldiers 1
stallion 1
starts 1
states 1
stay 1
story 1
suspicious 1
tears 1
texas 8
that 3
the 17
them 1
to 15
town 1
united 1
up 1
wagon 1
wanted 2
warlord 1
was 1
way 2
when 1
while 1
who 2
will 1
with 2
would 1
years 1
