9152756
/m/027zk6w
/m/027zk6w
Ludwig Bemelmans

{"/m/016475": "Picture book"}
11 1
a 1
about 1
again 1
allows 1
and 6
animalloathing 1
around 1
arrives 1
at 1
be 1
big 1
birth 1
bring 1
brokenhearted 1
but 1
by 1
causing 2
clavel 6
countryside 1
cucuface 1
does 1
dog 1
doorway 1
driver 1
enough 1
even 1
everyone 1
falls 1
fight 1
find 2
finding 1
finds 1
for 1
frightening 1
front 1
genevieve 9
girls 5
given 1
giving 1
go 1
has 2
her 7
his 1
home 1
hound 1
in 2
into 2
is 1
it 1
keep 1
landlord 1
late 1
later 1
light 1
look 2
madeline 2
miss 6
name 1
night 3
not 1
of 4
one 1
only 1
other 1
out 1
own 1
owner 1
poor 1
problem 1
puppies 1
real 1
rejoices 1
return 1
rise 1
river 1
room 1
saved 1
seine 1
spend 1
starts 1
take 1
takes 1
that 4
the 8
their 1
they 3
throw 1
time 1
to 9
trick 1
trouble 1
until 1
up 1
wakes 1
want 1
when 2
who 1
with 2
