2314529
/m/07350q
/m/07350q
Akif Pirinçci
1989
{"/m/0lsxr": "Crime Fiction", "/m/03npn": "Horror"}
450 1
a 26
ability 1
abnormality 1
about 2
accidentally 1
active 1
actually 1
additionally 1
admiration 1
afire 1
africa 1
after 4
alerts 1
all 1
allegedly 1
alludes 1
alongside 1
also 1
among 1
an 2
ancestors 1
ancient 2
and 40
angora 1
animals 3
another 2
answers 1
any 1
appears 1
approximately 1
are 3
aroused 1
as 5
ascended 1
assessment 1
assistants 1
attempting 2
attributes 1
bartender 1
battle 1
be 3
bear 1
became 1
been 4
before 3
begin 1
begins 2
being 3
believes 1
believing 1
blame 1
blind 1
bluebeard 4
body 2
both 1
bred 1
breed 4
breeding 2
brown 1
but 3
by 6
call 1
cannot 1
carry 1
cat 12
catacombs 2
catalogs 1
cats 9
caused 1
cease 1
ceases 1
chased 1
childhood 1
claudandus 5
cleared 1
coaxed 1
coexist 1
comments 1
compiled 1
comply 1
computer 3
concludes 1
confront 1
connect 1
contaminating 1
continue 1
continues 1
convinced 2
corpse 1
corpses 1
create 1
crowd 1
cult 1
data 1
dead 2
death 3
deep 1
deeply 1
deformed 1
delivers 1
demise 1
descended 1
descends 1
deserve 1
desperate 1
destroying 1
dies 1
disagrees 1
discovery 1
dream 1
dreams 1
due 2
egyptian 1
electrocute 1
encounters 1
encyclopedia 1
ends 1
entry 2
epilogue 1
escapes 1
escaping 1
eventually 2
example 1
experiences 2
experiments 1
explaining 1
explanation 1
failed 1
falls 1
fear 1
feelings 1
felicity 5
felidae 4
female 1
females 1
finds 5
fleshbinding 1
floors 1
for 3
found 1
founder 1
francis 29
frayed 1
free 2
from 8
funding 1
genetic 1
genetics 3
glue 4
goes 1
gone 1
gray 1
gregor 1
guard 1
guardian 1
had 5
harbors 1
has 8
hatred 2
havana 1
have 2
he 20
heard 2
hears 1
heat 1
heaven 1
her 5
him 6
himself 2
hint 1
his 11
home 4
hoping 1
house 4
housing 1
human 2
humanity 1
humans 3
hundreds 2
hunts 1
hybridization 1
identity 1
idolizes 1
images 2
immediately 1
in 9
including 1
inflict 1
inflicted 1
information 1
innocence 3
inquires 1
inspired 1
intelligent 2
intertwine 1
into 2
invites 1
involving 1
is 11
it 1
jesaja 3
join 1
joker 6
journal 2
journey 1
julius 1
jump 1
keep 2
keeping 1
killed 4
known 1
lab 1
laboratory 1
large 1
last 1
later 1
latterfor 1
learned 1
learns 3
leaving 1
like 1
lines 1
list 1
lives 1
local 3
located 1
logical 1
long 1
lose 1
lost 1
madness 1
makes 1
males 1
many 1
marks 1
mates 1
meanwhile 1
meeting 1
meets 1
members 1
memories 1
mendel 3
mentioned 1
mentions 1
mind 1
missing 1
modern 1
more 2
moving 1
murdered 1
murderer 3
murders 5
muses 1
must 1
mutation 1
name 3
named 1
names 1
neck 1
neighborhood 1
never 2
new 4
newold 1
next 1
night 3
nightmare 1
nightmares 1
no 2
not 1
notices 1
novel 2
of 22
offhandedly 1
old 1
on 8
one 1
or 1
other 2
others 2
out 1
over 1
overthrow 1
owner 4
pain 1
pascal 16
past 1
persian 1
placated 1
place 1
places 1
planning 1
plans 1
plant 1
porcelain 1
portrait 1
preaches 1
presence 1
present 1
presents 1
preterius 10
previous 1
prior 1
process 2
proclaims 1
program 2
project 1
prophet 1
purple 1
race 2
rats 1
reader 1
reads 1
realizes 1
recalls 1
recent 1
recognizes 1
religious 1
replicate 1
reportedly 1
rescued 1
research 1
responsible 1
retained 1
returns 1
reveals 2
sacrificed 1
sascha 3
says 2
scientist 1
sealed 1
seals 1
sees 1
sense 1
serves 1
set 1
setting 1
sexually 1
she 2
shortly 1
should 1
since 1
skeletons 1
skylight 1
slash 1
slits 1
soon 1
speak 1
special 1
specifically 1
spoke 1
standard 2
start 1
states 4
statues 1
still 1
strange 2
stray 1
struggle 1
sublime 1
succumbed 1
suffering 1
suggests 1
surrounded 1
take 1
takes 1
taking 1
teeth 1
terrible 1
than 2
that 30
the 66
their 4
them 2
themselves 1
then 1
there 1
they 1
this 3
those 1
three 1
throat 1
through 2
time 1
to 31
told 1
tomb 1
tomcat 2
true 1
turkish 1
uninhabited 1
unlike 1
unnerved 1
unsuccessful 1
upon 1
upper 1
urging 1
use 1
used 1
uses 1
victim 1
victims 1
visiting 1
visits 1
wakes 1
wanted 1
was 6
well 1
where 1
which 2
while 1
white 2
who 9
whom 1
wild 1
wires 1
with 13
words 1
world 1
would 1
wounds 1
yearning 1
years 1
yowling 1
ziebold 3
