5032114
/m/0c_qjp
/m/0c_qjp
Boris Strugatsky

{"/m/06n90": "Science Fiction"}
170s 1
a 5
abandon 1
acquaintances 1
action 1
aleksandr 1
alekseyevich 1
alone 1
already 1
an 4
and 11
apparent 1
apparently 1
approaching 1
arrive 1
as 3
astrophysicist 1
attractive 1
based 1
battle 1
be 2
becomes 2
been 1
begins 1
biology 1
by 4
can 1
claiming 1
classmate 1
completion 1
concludes 1
continue 1
continues 1
days 1
destroy 1
dies 1
diffused 1
discovery 2
distant 1
dmitry 1
eclipse 1
even 1
events 1
explanation 1
fabric 1
fields 1
find 1
first 1
food 1
for 2
force 2
forced 1
friend 1
friends 1
from 1
future 1
galactic 1
harnessed 1
have 1
he 3
his 7
idea 1
impasse 1
impedes 1
in 6
including 1
intent 1
interaction 1
investigated 1
is 7
just 1
leningrad 1
life 1
linguistics 1
loosely 1
malyanov 6
mankind 1
mathematical 1
mathematician 1
matter 1
mindset 1
movie 1
murder 1
mysterious 2
mysteriously 1
natural 1
neighbor 2
nobel 1
novel 2
occurs 1
of 8
officially 1
on 5
or 1
other 1
paid 1
phenomenon 1
place 1
plagued 1
posits 1
powerful 1
preventing 1
prize 1
problem 1
progress 1
proposed 1
proposes 1
protagonist 1
pursuit 1
ranging 1
reaction 1
realize 1
remains 1
research 1
resistance 1
revolutionary 1
same 1
science 1
scientific 3
scientists 1
selective 1
should 1
similar 1
sokurov 1
some 2
someone 1
something 1
stars 1
strange 1
suicide 1
suspect 1
suspects 1
takes 1
that 3
the 21
their 3
them 1
themselves 1
then 1
thesis 1
this 1
threatens 1
to 11
treat 1
unexpectedly 1
universal 1
universe 3
ussr 1
vacation 1
vecherovsky 3
verge 1
very 2
visited 1
way 1
which 2
while 1
who 2
wife 1
wine 1
with 2
woman 1
work 4
worthy 1
