16243392
/m/03wdy59
/m/03wdy59
Helen Fox
2003
21st 1
a 3
abilities 1
acts 1
adventure 1
alive 1
allpowerful 1
an 4
and 9
answer 1
are 3
around 1
as 3
assistant 1
at 1
bdc4 1
be 2
behaving 1
bell 3
brewing 1
butler 1
by 1
called 1
can 3
capable 1
cater 1
century 1
child 1
children 2
corporation 1
curious 1
danger 1
does 2
down 1
drawn 1
eager 4
eerilyhuman 1
egr3 1
emotion 1
end 1
england 1
every 1
excitement 1
experience 1
experimental 1
extraordinary 1
family 1
feel 1
find 1
fleur 1
for 2
gavin 1
great 1
group 1
grumps 2
he 2
him 1
his 2
human 1
in 1
intellectually 1
into 1
inventor 1
is 4
it 1
itself 1
learn 1
learns 1
lifecorp 2
limit 1
longer 1
loss 1
mean 1
mr 1
muchloved 1
need 1
no 1
of 5
oldfashioned 1
opposes 1
out 1
plot 1
question 1
rebellion 1
repaired 1
revolves 1
robot 3
robots 2
running 1
sends 1
set 1
supply 1
suspiciously 1
technocratic 1
tested 1
that 1
the 11
there 1
think 1
though 1
to 7
tries 1
type 1
ultrahightech 1
underground 1
what 1
which 2
who 2
wonder 1
works 1
