23389559
/m/06wbdf_
/m/06wbdf_
Jane O'Connor
2005-12
{"/m/0dwly": "Children's literature"}
a 4
adores 1
all 1
always 1
and 7
anything 1
art 1
as 2
bedroom 1
big 1
boas 2
bows 1
chandelier 1
christmas 1
class 1
cries 1
decides 1
delight 1
doll 1
dress 1
dresses 2
ecstatic 1
everyday 1
extraordinary 1
extravagantly 1
fairy 1
family 3
fanciness 1
fancy 5
favorite 1
feather 1
flowers 1
for 2
french 1
fuzzy 1
gaudy 1
girl 1
has 1
hats 2
helps 1
her 4
hold 1
in 5
iridescent 1
is 4
items 1
larger 1
lavinia 1
life 1
lights 1
loves 1
marabelle 1
my 1
named 1
nancy 6
oblige 1
of 1
ooolala 1
opinion 1
ordinary 1
ornaments 1
paper 1
personality 1
plainly 1
posh 1
rather 1
redecorated 1
ruby 1
scarves 1
she 2
slippers 2
so 1
such 2
than 1
that 1
the 1
them 1
they 1
things 1
to 2
top 1
tutus 1
using 1
wearing 1
who 1
wings 1
with 2
word 1
words 1
young 1
