22757474
/m/05zwg0s
/m/05zwg0s
Richard Cytowic
2009-04
1 2
2 1
3 1
a 3
advocate 1
all 1
and 7
another 1
are 3
as 3
authors 1
barriers 1
be 2
benefits 1
brain 2
builds 1
by 1
can 2
case 1
chapter 4
characteristics 1
close 1
coastal 1
color 2
common 1
communication 1
concurrents 1
constants 1
correlation 1
crosstalk 1
describes 2
detail 1
developing 1
diagnose 1
diagnosis 1
discusses 1
discussing 1
early 1
eidetic 1
elements 1
existence 1
expanded 1
experience 1
experiences 1
explains 1
for 1
form 1
framework 1
fundamental 1
graphemecolor 1
in 8
including 1
independent 1
interact 1
introduced 1
introduction 1
introspective 1
involuntary 1
is 2
isolated 1
its 1
later 1
like 1
likens 1
make 1
memory 1
methods 1
mountain 1
necessary 1
no 1
normally 1
occurring 1
of 11
on 3
one 1
part 1
patterns 1
potential 1
producing 1
purposes 1
ranger 1
regions 2
reports 1
resistance 1
response 1
rocky 1
sense 1
shereshevsky 1
solomon 1
some 1
spot 1
still 1
stroop 1
study 2
such 2
synesthesia 6
synesthetic 2
systems 1
tests 2
the 16
there 1
they 1
thirdparty 1
to 5
tuesday 1
types 1
used 1
useful 1
usefulness 1
variations 1
visual 1
weather 4
what 1
where 2
wider 1
with 1
