25934360
/m/0b6h_p4
/m/0b6h_p4
Rodman Philbrick
2009
{"/m/0dwly": "Children's literature"}
a 4
air 1
an 1
and 3
army 1
back 1
balloonist 1
brother 1
by 2
catchers 1
even 1
figg 1
finally 1
find 1
finds 1
from 1
gets 1
gettysburg 1
gunfire 1
hail 1
harold 2
he 3
himself 1
his 2
homer 2
hot 1
into 1
is 2
maine 1
medicine 1
meets 1
narrated 1
novel 1
of 1
older 1
orphan 1
others 1
pierce 1
quest 1
ruse 1
show 1
slave 1
survives 1
sworn 1
take 1
the 2
through 1
to 2
traveling 1
trying 1
union 1
until 1
upon 1
was 1
who 1
