3688067
/m/09vh_h
/m/09vh_h
Diane Duane
2002
a 5
abdal 2
ability 2
accept 1
actually 1
after 1
all 1
also 1
an 4
and 13
antisocial 1
any 1
as 1
asked 1
assist 1
at 1
attempt 1
autism 2
autistic 3
becomes 2
been 2
begins 2
behind 1
body 1
both 1
boy 2
breaks 1
but 2
by 1
can 1
carl 1
causes 1
character 3
concerning 1
conduit 1
created 1
daily 1
darryl 15
deal 2
deals 1
death 1
depressed 1
dilemma 1
dreams 2
end 1
enter 1
enters 2
escapes 1
events 1
exhibit 1
exist 2
experience 1
figure 1
find 1
for 2
force 1
forced 1
forces 1
free 1
frees 1
from 2
goodness 1
has 4
having 1
he 8
help 2
her 1
him 2
himself 1
his 7
however 1
if 1
in 13
into 2
is 11
it 1
kit 7
leaves 1
limits 1
lone 9
looking 1
looks 1
mcallister 1
meanwhile 2
mind 4
months 1
mood 1
more 2
mother 1
nita 4
not 1
of 4
on 2
once 1
one 9
ordeal 2
overexposure 1
own 1
past 1
picked 1
place 2
ponch 1
power 2
realizes 2
refusing 1
remains 1
return 1
returns 1
save 1
seems 1
sees 1
self 1
she 6
some 2
someday 1
speech 1
strange 2
stuck 1
swings 1
take 1
tendencies 1
than 2
that 4
the 21
this 2
three 1
through 2
to 13
tom 1
tortured 1
traits 1
trap 3
trapped 1
traps 1
tremendous 1
tricking 1
trouble 1
understand 1
understanding 1
universe 3
universes 1
up 1
utilizing 1
walk 1
when 1
where 1
which 2
while 1
who 3
will 1
with 1
wizard 1
