14252409
/m/03cz7wh
/m/03cz7wh
Suzanne Martel

{"/m/03g3w": "History", "/m/03mfnf": "Young adult literature"}
10 1
1672 1
18 1
41day 1
a 8
aboriginals 1
across 1
adventurous 1
after 1
age 1
agrees 1
aimee 1
alone 1
along 2
also 2
an 4
and 14
aptitude 1
are 1
area 1
arrive 1
as 3
at 2
atlantic 1
attack 1
august 1
be 1
become 1
becomes 2
begins 1
being 1
best 1
better 1
boisterous 1
book 1
by 1
callous 1
chatel 1
children 1
chosen 1
conflicts 1
constant 1
constantly 1
convent 1
creating 1
cultivates 1
daughter 1
de 2
decides 1
decision 1
dies 1
disappointed 1
each 1
else 2
embark 1
ends 1
eventually 1
everdetermined 1
everyone 1
faces 1
fall 1
fallen 1
falls 1
family 1
fiances 1
first 1
for 4
france 4
friend 1
from 1
get 1
girl 1
girls 2
grand 1
grandfather 1
group 1
grows 1
happy 1
hardships 1
having 1
he 1
healer 1
healing 1
her 9
herbal 1
his 1
however 1
hurons 1
husband 2
illness 1
immediately 1
in 11
into 1
iroquois 1
is 5
isabelle 1
jean 1
jeanne 13
king 1
known 1
lieutenant 1
life 3
live 1
lives 1
love 3
make 2
man 1
many 2
marie 5
married 1
marry 1
marrying 1
medicine 1
meets 1
moves 1
must 1
named 1
new 7
nicholas 1
ocean 1
of 8
offered 1
on 1
only 1
order 1
orphan 1
other 3
out 1
place 1
realizes 1
reminds 1
result 1
romantic 1
rouville 2
rude 1
saddened 1
sailor 1
sets 1
she 5
shows 1
simon 3
situation 1
someone 2
sorely 1
spite 1
stay 1
stays 1
stories 1
strong 1
survives 1
takes 1
talents 1
telling 1
that 3
the 17
their 2
then 1
they 1
this 1
thought 1
threat 1
to 9
together 1
told 1
travel 1
trip 1
two 2
unable 1
unfriendly 1
until 1
was 2
way 2
welcomed 1
well 1
when 2
who 1
wife 1
wilderness 1
with 5
