3069636
/m/05n02bl
/m/05n02bl
Gwyneth Jones
2002
21st 1
a 21
achieve 1
adult 1
affair 1
after 1
agree 1
all 1
alliance 1
almostfamous 1
an 2
ancient 1
and 26
anticipated 1
aoxomoxoa 1
are 3
arthur 1
as 12
assertions 1
at 1
attend 1
away 1
ax 5
baby 1
based 1
be 2
beach 1
bed 1
beleaguered 1
between 3
birthpangs 1
bold 5
bond 2
borrowed 1
both 1
brechtian 1
bridge 1
brighton 1
brings 1
but 1
by 8
called 1
can 2
canonisation 1
career 1
cartel 1
castle 1
castles 2
celebrityculture 1
celtic 1
century 1
chapters 2
characters 1
chosen 1
clearly 1
climax 1
come 1
complete 1
complicated 1
computer 1
conformity 1
contain 1
counterpointed 1
country 1
create 1
cycle 1
daring 1
darkest 1
day 1
deadly 1
depict 1
describes 1
description 1
developed 1
development 1
developments 1
devoted 1
different 3
down 1
dreams 1
drug 2
each 1
emergency 1
emotional 1
end 1
engaging 1
england 2
enjoyable 1
ensuing 1
entertaining 1
episode 1
essentially 1
everything 1
evil 1
fairytale 1
fairytales 1
fall 1
fan 1
fantasy 3
far 2
fascinating 1
female 1
fergal 1
feudalism 1
few 1
fiction 1
fiorinda 2
first 2
flip 1
folklore 1
for 6
forces 1
form 2
format 1
formula 1
foundation 1
freedom 1
friends 1
from 3
fusion 1
future 1
futuristic 1
gestalt 1
global 1
good 1
grail 1
great 1
green 1
grows 1
gwyneth 1
halfway 1
has 2
have 1
hendrix 1
her 3
here 2
high 1
highly 1
his 3
holy 1
hormone 1
horrible 1
horrors 1
hostage 2
in 11
indie 1
innocent 1
instead 1
intensity 1
intimacy 1
into 2
irishman 1
is 8
it 2
jewel 1
jimi 1
jones 3
joness 2
kearney 1
kind 1
king 1
last 1
laying 1
leads 1
led 2
legend 1
licence 1
life 1
like 1
lorien 1
love 7
lovedup 1
lulled 1
lyrics 1
macrocosm 1
made 2
mainframe 1
mainstream 1
making 1
male 1
manages 1
manipulation 1
massacre 2
masses 1
mcgowan 1
meaning 1
meanwhile 1
mediated 1
meet 1
member 1
merlin 1
microcosm 1
modern 1
monogamous 1
monstrous 1
more 2
most 1
mother 1
movement 1
music 1
musicians 1
must 1
national 1
nave 1
need 1
neither 1
neuroscience 1
night 2
nor 2
not 3
of 34
on 6
one 3
only 1
opening 1
optimism 1
or 2
other 1
out 1
own 1
oxytocin 3
painful 1
paneuropean 1
pantomime 3
parted 1
partners 1
passionate 1
people 2
permeate 1
personal 1
phase 1
plausible 1
politics 1
probably 1
problem 1
proved 1
radical 1
readers 3
realistically 1
really 1
reimagining 1
released 1
repelled 1
reproductive 1
restrained 1
revelatory 1
revision 1
rich 1
right 1
ring 1
rock 3
roll 3
romanticism 1
ruin 1
sage 3
sail 1
same 1
sand 2
science 2
sea 1
second 1
secondary 1
security 1
seems 2
sequel 1
serious 1
serves 1
services 1
sets 1
sexual 2
sf 2
shades 1
shadows 1
shane 1
she 1
shocking 1
sinister 1
so 2
social 1
socialism 1
something 1
state 1
steeped 1
story 2
struggle 1
such 1
suffers 1
supernatural 1
survived 1
take 1
takes 1
tenderness 1
terms 1
test 1
tests 1
that 5
the 53
there 2
they 1
this 2
thom 1
thoroughly 2
though 1
threesome 1
through 1
time 1
to 9
together 1
trademark 1
treasured 1
treated 1
trials 2
triumphantly 1
triumvirate 1
truly 1
two 1
uglier 1
unable 1
unrest 1
updated 1
utter 1
vapid 1
vicious 1
villain 1
violent 1
volume 1
warming 1
was 1
we 2
where 1
which 1
who 1
will 1
wing 1
wit 1
with 3
wounded 1
wrecked 1
wrest 1
yacht 1
yet 2
yorke 1
zeppelin 2
