320387
/m/01vfpb
/m/01vfpb
Stephen King
1983-04-29
158 1
178 1
250 1
30 1
a 26
able 1
about 1
accident 2
accomplices 1
accounts 1
acting 1
affection 1
after 3
afterward 1
again 1
against 1
airport 1
airtight 1
alibi 1
all 2
allayed 1
almost 1
also 3
although 1
an 3
and 33
angeles 1
apparently 1
appear 1
appearance 1
are 4
arguments 1
arnie 31
arnold 1
around 1
as 8
at 2
attempts 1
attending 1
attractive 1
auto 1
automobile 1
away 1
back 4
batter 1
be 1
beauty 1
become 2
becomes 3
before 1
begin 1
begins 1
behavior 1
being 1
believe 1
both 2
brace 1
brings 1
brother 1
buddy 3
bully 1
but 1
by 8
cabot 1
can 1
car 15
carbon 1
carnamed 1
carrelated 1
caused 1
changes 1
choked 1
chokes 1
christine 19
christineto 1
close 2
college 1
committed 1
committing 1
competing 1
confident 1
contraband 1
convinces 1
courier 1
crusher 1
cunningham 1
cynical 1
d 1
darnell 6
dashboard 1
date 1
daughter 1
day 1
death 5
deaths 1
deciding 1
decision 1
declines 1
dennis 17
despite 1
destroy 1
details 1
detective 1
devise 1
did 1
dies 1
dilapidated 1
do 1
does 1
doityourself 1
done 1
during 1
each 3
earlier 1
elderly 1
employee 1
ending 1
entirely 1
even 2
evening 1
events 1
everyone 2
evidence 1
examine 1
expelled 1
extensive 1
eyes 1
facility 1
falls 1
family 1
father 2
find 1
finish 1
finished 1
for 7
forgetting 1
found 1
four 1
freak 1
frequently 1
friend 2
frightened 1
from 2
front 3
fury 1
gang 2
garage 2
garagejunkyard 1
gentleman 1
george 2
get 1
gets 1
girl 1
glaring 1
go 1
green 1
gruesome 1
hamburger 2
haphazardly 1
has 2
have 1
he 7
heimlich 1
helping 1
her 6
herself 2
high 3
highway 1
him 4
his 10
history 1
hit 1
hitchhiker 1
home 2
hopefully 1
house 1
humorless 1
illicit 1
improves 1
in 16
incident 1
independently 1
ineffectually 1
inexplicable 1
inside 1
intervention 1
intimately 1
into 2
is 12
it 2
its 1
itself 3
junior 1
junkins 2
keep 1
kill 1
killed 3
knowing 1
last 2
later 1
lead 1
learns 2
lebay 10
leigh 8
let 1
lights 1
like 1
linking 1
list 1
los 1
lot 1
lure 1
makes 1
maneuver 1
many 1
may 1
meets 1
member 1
monoxide 1
more 2
mother 2
movie 1
murders 1
named 2
nearly 1
nerdy 1
never 1
new 2
none 1
not 3
notices 2
now 2
number 1
observes 1
obsessed 1
occur 1
of 18
on 7
one 3
only 1
operations 2
out 5
own 1
owner 1
paperwork 1
parked 1
parking 1
parted 1
pass 1
passes 1
past 1
peace 1
personality 1
pieces 1
plan 1
plymouth 1
poisoning 1
police 2
possessed 1
possibly 1
pounding 1
proceeds 1
process 1
produce 1
purchase 1
pushes 1
put 1
puzzled 1
puzzles 1
rage 1
realizes 1
rebuilt 1
red 1
reflects 1
refuses 1
regarded 1
relationship 2
remains 1
repair 2
repairing 1
repairs 2
repperton 1
restore 1
restores 1
restoring 1
revealed 1
reveals 2
riding 1
roland 2
rudy 1
run 1
save 2
saved 1
saving 1
scene 1
school 4
seat 2
seemed 1
selfassured 1
sells 1
sending 1
septic 1
set 1
several 1
she 6
sits 1
small 1
smashed 1
smuggling 1
so 2
soon 1
speculates 1
spirit 2
spots 1
starting 1
stood 1
stop 1
strains 1
struck 1
stumbles 1
suicide 1
supporter 1
surroundings 1
surviving 1
suspected 1
suspicions 1
suspicious 1
taking 1
talk 1
tandem 1
tanker 1
targeted 1
teacher 1
teen 1
that 14
the 35
theater 2
their 1
these 2
they 3
though 1
through 4
thugs 1
tied 1
time 2
to 24
together 1
top 1
tore 1
town 2
traits 1
transfers 1
traumatized 1
tried 1
truck 1
unearthing 1
upon 1
uses 1
using 2
vandalism 1
vandalize 1
vengeful 1
victim 1
violent 1
vision 1
vows 1
waiting 1
wall 1
was 3
watching 1
wearing 2
were 2
when 3
which 1
while 5
white 1
who 5
wife 1
will 2
with 8
withdrawn 1
witness 1
work 2
wreck 1
years 1
yet 1
younger 1
