1529691
/m/058ckf
/m/058ckf
Ben Johnston
1919
0 1
100 3
100000000 1
108 1
114 1
181 1
1856 1
188 2
20 1
20004000 1
30 1
85 1
a 68
ablest 1
about 2
absolutely 1
absorbed 1
abundantly 1
accidentally 1
accomplished 1
accomplishment 1
according 1
account 1
accuracy 1
accurately 1
ach 1
achievement 1
achievements 2
acting 1
action 2
actions 1
activity 1
actuated 1
address 1
adopted 1
advance 1
advent 1
advocated 1
aerial 2
aeroplane 1
afternoon 1
afterwards 1
again 1
against 3
age 1
ago 1
ah 1
ailerons 1
air 2
akin 2
alas 1
all 7
almost 2
along 2
already 1
also 2
alternator 2
am 3
american 2
among 1
amount 1
amperage 1
amperes 2
ample 1
an 17
anarchy 1
and 84
annihilates 1
announcement 1
announcements 1
another 2
antenna 2
any 9
anywhere 1
apparatus 1
appeared 1
application 3
appreciate 1
approximate 1
are 14
area 2
arguments 1
arid 1
armies 1
around 2
arranged 1
art 1
article 1
artificial 1
as 18
asked 1
at 18
atoms 1
attachments 1
attacking 1
attainable 1
attention 1
automata 1
automatic 1
automatically 1
automobile 1
available 1
avert 1
awaits 1
away 1
awful 1
back 1
balance 1
bare 1
battle 1
be 24
beautiful 1
because 1
becomes 1
been 3
before 2
began 1
begin 1
being 5
belief 1
benefits 1
berlebt 1
besides 1
best 1
between 1
beyond 1
bigger 1
bitter 1
blessing 2
boden 1
bodily 1
books 1
born 1
brain 2
bring 3
but 15
by 18
calamity 1
call 1
came 2
can 9
cannot 1
capable 3
capacity 1
carriage 1
carried 1
carry 1
casual 1
caused 1
cent 1
center 1
certain 3
change 1
chapters 1
characters 1
charge 1
charged 2
cheap 1
childhood 1
chimerical 1
circuit 1
circuits 1
cited 1
city 2
civilization 1
class 1
clear 1
clearly 2
close 1
closely 1
coil 1
college 1
combination 1
come 2
comes 1
commercial 2
commercialize 1
companion 1
compared 1
compelled 1
compensation 2
competent 1
complete 1
comprised 1
conceived 2
concentrate 1
concern 1
concerned 1
condenser 1
condition 1
conductor 2
conductors 1
conflict 1
confronted 1
consciousness 1
consequences 1
considerable 1
considerations 2
constant 1
constants 1
construction 3
contain 1
contemplation 1
continued 1
continuous 1
contrary 2
control 1
controlled 4
conversion 1
correctly 1
could 5
counterpart 1
course 2
covering 1
create 2
creative 1
crude 1
current 1
currents 3
curvature 2
cut 1
cycles 1
damping 1
dass 1
day 1
deal 1
death 1
december 1
deemed 1
deep 1
deeply 1
defect 1
degree 1
delay 1
delivered 1
demonstrations 1
density 1
departments 1
dependent 2
der 1
des 1
describe 1
deserts 1
design 2
designated 1
desirable 1
destroyed 1
destructive 1
develop 1
developing 1
development 3
device 2
devious 1
devise 1
devoid 1
devoted 1
diagrams 1
diameter 2
did 1
different 1
difficult 1
difficulties 1
dimensions 2
diminution 1
direction 1
disaster 1
discharge 1
discharges 1
discouraging 1
discover 1
discovered 2
discoveries 1
disguise 1
dissension 1
distance 7
distances 2
distant 1
divided 1
doing 1
done 1
dort 1
doubt 1
down 1
drawback 1
dream 1
drew 1
driven 1
drop 2
duration 1
early 2
earth 3
easily 1
effective 1
efficiency 2
efficient 1
eilt 1
ein 1
either 1
electric 3
electrical 4
electromotive 2
electrons 1
elements 2
elevated 1
eliminated 1
emotions 1
employed 1
employment 1
enable 2
encountered 1
end 1
ended 1
enemy 1
energy 8
engineers 3
enjoying 1
enormous 1
enterprise 1
enthronement 1
entire 1
entirely 3
entweicht 1
enveloping 1
equipment 1
essential 1
even 3
ever 3
everywhere 2
evolution 1
evolved 1
exact 1
examples 1
exceptionally 1
excited 1
exercises 1
exhibit 1
exhibition 1
existence 4
existing 2
expedients 1
experience 1
experimental 1
experimentation 1
experimenter 1
explicit 1
exploitation 1
explores 1
exposed 1
expression 1
extended 1
external 1
extraordinary 1
extremely 1
extremes 1
facility 1
factor 1
factories 1
fade 1
failed 1
far 1
farreaching 1
fatal 1
faust 1
fearing 1
feature 1
feel 1
feet 3
felt 2
fertile 1
few 2
field 2
fields 2
fight 1
find 1
finds 1
firm 1
first 3
fit 1
five 1
flash 1
flashed 1
flgel 2
flgeln 1
flying 2
follow 2
for 20
force 3
forces 1
fordert 1
foresee 1
fortunately 1
found 1
fraction 1
framing 1
frankly 1
fraught 1
frequencies 1
frequency 4
friend 1
friends 1
from 20
furnish 1
furnishing 1
future 3
gap 1
gateways 1
geistes 1
generations 1
gesellen 1
give 2
given 1
giving 2
globe 6
glories 1
glorious 1
goethe 1
going 1
good 1
governing 1
grand 2
great 5
greater 2
greatest 1
ground 1
guns 2
had 7
hand 1
harmony 1
harnessing 1
has 4
hated 1
have 13
hazardous 1
hazards 1
he 1
heart 1
hebt 1
height 1
hence 1
her 2
here 2
hertzwave 1
high 3
higher 1
highly 1
him 4
hin 1
his 4
however 6
human 3
humanitarian 1
hundreds 1
hurries 1
hydrogen 1
i 48
idea 2
ideal 2
if 6
ihr 1
images 1
immaterial 1
immediate 1
immediately 1
immense 2
immer 1
impending 1
imperfect 1
importance 1
important 4
impose 2
imposed 1
impressions 1
improvement 1
improvements 1
impulses 2
in 62
incessant 1
inches 1
inconstancy 1
increase 1
indessen 1
induction 1
inductor 1
industrial 1
inestimable 1
inexpensive 1
inferno 1
ingenuity 1
innumerable 1
insofar 1
inspiring 1
installing 1
instance 1
instant 2
instantaneous 1
instead 1
institute 1
institution 1
instrumentalities 1
instruments 1
insuring 1
intelligence 1
intended 1
intensity 1
interconnection 1
interferences 1
into 7
introduction 1
introspection 1
invent 1
invention 3
inventions 1
inventor 2
investigation 1
involved 1
involving 1
is 42
issues 1
ist 1
it 36
its 7
itself 1
judge 1
judging 1
judgment 1
just 3
kein 2
kelvin 1
kind 5
knew 2
knowledge 4
krperlicher 1
labor 2
laboratory 2
lakes 1
land 2
large 2
larger 1
later 1
latter 1
launch 1
law 3
league 1
leak 1
leben 1
lecture 1
left 1
leicht 1
less 2
level 1
life 5
lift 2
lightly 1
lightning 1
like 3
likely 1
likeness 1
likewise 1
limit 1
limitations 1
limits 3
linewire 1
listen 1
little 1
load 1
logical 1
long 3
longer 1
lord 1
loss 1
lost 1
low 1
lower 1
machine 4
machines 4
made 3
magazine 1
magnetic 1
magnifying 2
magnitude 1
main 1
make 3
makes 3
making 1
man 1
mankind 1
manner 2
manufacturing 1
many 9
mastery 1
material 2
mathematical 1
matter 2
maximum 1
may 8
me 7
meaning 1
means 5
mechanical 1
mechanically 2
mechanisms 1
medium 1
men 2
menacing 1
mercury 1
mere 1
merely 2
merit 1
messages 1
metal 1
method 2
mich 1
might 3
miles 3
mind 2
minds 1
missile 1
misunderstood 1
moderate 2
modern 1
more 5
most 3
motive 1
motor 1
moved 1
moves 1
much 6
music 1
my 25
myself 2
nach 2
namely 1
narrow 1
narrowest 1
nation 1
nations 1
natural 1
nature 2
near 1
necessitating 1
need 1
needs 1
negligible 1
neues 1
new 5
next 1
no 13
not 18
noted 1
nothing 1
novel 1
novelty 1
now 5
number 2
object 1
oblivious 1
observed 1
obtained 2
obviously 1
occasion 2
occupation 1
occur 1
odds 1
of 148
often 2
oh 1
oil 1
old 1
on 19
one 11
ones 2
only 3
opened 1
operated 1
operating 1
operation 2
operations 1
operator 1
opinion 1
opposite 1
or 10
original 1
oscillations 2
other 9
our 2
out 1
outlined 1
outside 1
outward 1
over 1
own 1
page 1
park 1
particularly 1
parts 2
passage 1
passing 1
past 1
path 1
peace 2
peculiar 1
per 2
perfect 2
perfectly 2
perform 2
performances 1
peril 1
perils 1
period 1
periods 1
perish 1
perished 1
personal 1
persons 1
physical 1
pitiless 1
pittsburg 1
place 2
planes 1
planning 1
plant 2
plants 2
played 1
pleasing 1
poetry 1
point 1
policy 1
portentous 1
possessing 1
possest 1
possibilities 2
possible 4
potential 1
pouring 1
power 4
powerful 2
powers 1
practicable 3
practical 1
practice 1
precise 2
predicted 1
prediction 1
preeminently 1
preference 1
present 6
preservation 1
press 1
pressure 2
preventing 1
previous 1
primemover 1
principle 2
printed 1
privileged 1
problem 2
problems 2
produced 1
product 1
production 2
progress 2
progressive 1
project 1
prompted 1
propelled 2
propellers 1
proper 3
properties 1
proportion 1
proportioned 1
proportioning 1
proposal 1
proposed 2
prove 2
providing 1
public 1
punitive 1
purpose 1
purposes 4
push 1
pygmalion 1
qualities 1
quantity 1
question 1
quite 3
quote 1
race 1
radiation 1
radii 1
range 2
rapid 1
rather 1
rckt 1
reaction 1
readers 1
readjustment 1
realizable 1
reasons 1
receiver 1
recent 1
recesses 1
reciting 1
recognized 1
recollection 1
regime 1
regrettable 1
regretted 1
rejected 1
release 1
remedy 1
reminded 2
repetition 1
representatives 1
reproduced 1
required 1
research 1
resolve 1
resonant 4
resources 1
restricted 2
result 2
resulted 1
results 1
resumed 1
return 1
returned 1
revealed 1
reverse 1
revolution 4
rewards 1
rise 1
rivers 1
rotating 1
sacred 1
sacrifices 1
said 1
same 2
sand 1
saved 1
saw 2
schner 1
scientific 1
sea 1
second 1
secondary 1
secrets 1
see 1
seeing 1
seemed 1
seems 1
sensations 1
serious 1
services 1
setting 1
several 3
sharp 1
she 2
ships 1
should 1
showed 1
shown 2
sich 1
sie 3
signal 1
signals 1
significance 1
similar 1
simpler 1
since 2
sine 1
sinusoidal 1
situated 1
six 2
small 3
smaller 1
so 12
soar 1
solidity 1
solution 1
solved 2
some 4
something 1
soon 1
sound 1
space 1
spare 1
spark 2
sparks 1
speech 1
speed 2
speeds 1
spot 1
state 1
stated 1
statement 1
statics 1
stations 1
statue 1
steps 1
stick 1
still 1
stone 1
stop 3
stored 1
stream 2
streben 1
street 2
struggle 2
student 1
study 1
stumbled 1
subject 1
subscriber 2
subsequent 1
successfully 1
such 8
suffering 2
sufficient 1
sufficiently 1
suitable 1
sun 3
supposed 1
surely 1
surface 1
surfaces 2
sustained 1
sustaining 1
tag 1
taken 1
talk 1
task 2
taught 1
technical 2
telautomata 1
telautomatics 1
telegraph 1
telegraphic 1
telephone 2
telephonic 1
tending 1
tension 1
term 1
terminal 1
terms 1
terrible 1
tesla 1
than 6
that 25
the 171
their 4
them 1
themselves 1
then 3
theoretically 2
theory 1
there 5
thereby 1
these 5
they 2
things 1
this 24
those 4
though 1
thoughts 1
thousand 1
thousands 4
threatened 1
thrilled 1
thru 3
thus 1
time 1
times 1
tiny 1
to 66
today 1
toil 1
told 2
transform 1
transformation 2
transformer 2
transmission 5
transmitted 1
transmitter 4
traum 1
tremendous 1
true 1
truth 1
trying 1
tune 1
type 1
ultimate 1
ultimately 2
und 3
under 1
underlying 1
understand 1
understood 1
undertook 3
unexplored 1
unification 1
universal 1
unlike 1
unlimited 1
unrewarded 1
up 2
upon 2
use 2
used 1
usefulness 1
uses 1
usual 1
utility 1
uttered 1
valuable 1
value 1
vapor 1
variety 1
vary 1
vastly 1
vertically 1
very 5
view 1
virtually 1
virtue 1
vision 2
vitally 1
voice 1
volts 1
volume 1
vom 1
vow 1
walk 1
want 3
war 1
warfare 1
was 22
watch 2
waterfalls 1
waves 1
way 1
ways 2
we 6
weapons 1
weicht 1
weigh 1
weight 1
well 2
were 6
what 3
whatever 1
whatsoever 1
when 4
where 1
which 31
while 1
who 1
whole 1
wholly 1
whom 1
why 1
will 15
wing 1
wings 1
wird 1
wireless 9
wires 1
with 14
within 2
without 6
won 1
wonderfully 1
wonders 1
word 2
words 1
work 2
world 3
worldsystem 2
would 5
wrested 1
wrought 1
years 4
yet 2
yield 2
yields 1
york 2
young 1
zu 2
