5533292
/m/0dr8dd
/m/0dr8dd
Louis Cha
1965
{"/m/08322": "Wuxia"}
a 12
accident 1
acknowledges 1
acquires 2
actually 1
after 1
afterword 1
also 1
although 1
an 2
and 9
appears 1
are 2
arise 1
artist 1
arts 2
as 5
at 1
away 1
axiu 2
bad 1
bastard 1
be 3
bear 1
been 1
beggar 1
between 2
bothered 1
by 8
called 1
cannot 1
case 1
causes 1
celebrate 1
centers 1
cf 1
changle 1
characters 1
clever 1
cliff 1
coerced 1
colloquialism 1
comedy 1
complications 1
concerning 1
conclusion 1
congee 1
consummate 1
couple 3
culminates 1
cultivation 1
dang 1
deals 1
decides 1
die 1
different 1
ding 1
disappears 1
dog 1
during 1
eating 1
episode 1
episodes 1
errors 1
eventually 1
festival 1
fight 1
first 1
for 5
frequently 1
from 1
girlfriend 1
going 1
gouzazhong 6
gouzhazhong 4
granddaughter 1
greater 1
had 1
harbours 1
has 2
he 2
highly 1
him 5
himself 1
his 3
home 1
honest 1
hope 1
hounded 1
identical 1
identity 1
ill 1
in 4
intentions 1
internal 1
into 1
is 6
island 2
jin 1
kaifeng 2
laba 2
leader 2
leaders 1
leads 1
learns 1
lewd 1
literally 1
living 1
lost 1
lover 1
martial 3
means 1
meets 1
members 4
messengers 1
methods 1
mistake 1
mistaken 2
misunderstandings 1
molested 1
mongrel 1
more 2
mother 1
motian 1
motives 1
mountain 4
mysterious 1
mysteriously 1
name 1
night 1
not 1
novel 2
of 15
on 4
only 1
pair 2
parentage 1
parents 1
part 1
plot 1
potian 1
process 1
protagonist 1
pugilists 1
qi 1
real 1
refers 1
reputation 1
resemblance 1
resemble 1
resolved 1
revelations 2
same 1
searching 1
secluded 2
sect 6
sects 1
several 1
shakespeare 1
shi 10
simple 1
six 1
skilled 1
skills 1
sly 1
snowy 4
some 1
son 1
splitting 1
story 1
streets 1
surprising 1
sustain 1
taken 1
teach 1
teaching 1
techniques 1
that 3
the 30
their 1
then 1
time 1
to 8
towards 1
true 1
tutelage 1
twelfth 1
twins 1
two 1
ulterior 1
unaware 1
under 1
various 2
when 1
which 2
while 1
who 4
whose 1
will 1
william 1
with 1
witnesses 1
womaniser 1
works 1
wounds 1
wrong 1
wulin 1
xie 5
yanke 4
years 1
yong 1
young 1
zhongyu 6
