17221944
/m/043ngl9
/m/043ngl9
Hal Clement
1973
{"/m/03lrw": "Hard science fiction"}
a 7
ammonia 1
and 2
are 1
as 1
can 1
cavern 1
climb 2
collapses 1
college 1
discuss 1
dr 1
enclosed 1
examining 1
expedition 1
factor 1
fall 1
finite 1
geological 1
in 1
into 1
is 2
it 2
laverne 1
layer 1
limiting 1
melting 1
mesklinite 1
now 1
of 3
on 1
out 2
oxygen 1
party 1
point 2
possibilities 1
raise 1
realise 1
rock 1
safety 1
soldifies 1
students 3
suit 1
supply 1
surrounding 1
takes 1
teacher 4
that 1
the 7
they 4
time 1
to 3
unable 1
until 1
various 1
where 1
whilst 1
with 2
