6481658
/m/0g6_bf
/m/0g6_bf
Peter Hitchens
2000
{"/m/05h83": "Non-fiction"}
15 2
150 1
160 1
160s 1
164 1
165 1
166 1
167 1
17 1
2006 1
a 13
abolition 3
about 2
absence 1
accidental 1
achieve 1
act 1
action 1
acts 1
advised 1
after 2
aftereffects 1
against 4
aids 1
airing 1
alike 1
all 1
alliances 1
allow 1
also 1
american 2
among 1
an 2
analyses 1
and 21
another 1
antiestablishment 1
apart 1
approval 1
argues 5
argument 3
as 5
at 3
attacks 1
attention 2
authors 1
backed 1
bad 1
bbc 1
be 2
been 2
behind 1
being 1
between 1
beyond 1
bills 1
bisexual 1
book 4
books 1
breaks 1
brief 1
bring 1
britain 6
british 2
brought 1
but 2
butterfly 1
by 8
calls 1
came 1
campaign 1
campaigner 1
cancer 1
capital 2
capture 1
case 2
ceased 1
changes 4
chapter 2
chatterley 1
children 1
china 1
christian 1
church 1
churchill 1
cites 2
citing 1
claims 1
colour 1
comedy 1
commercial 1
comparable 1
conformism 1
consensus 1
conservative 3
contemporaneous 1
contraceptive 1
contrast 2
contrasts 1
conviction 1
could 1
country 1
crime 1
critical 2
criticises 2
criticising 1
criticism 1
criticize 1
crossparty 1
cultural 8
culture 1
damaging 1
data 1
debate 1
decades 1
decidedly 1
defence 2
defend 1
deflecting 1
deliberately 1
describes 3
describing 1
deserted 1
desires 1
despite 1
detail 1
development 2
develops 1
diana 1
did 1
direct 1
disapproval 1
discovery 1
dissimilar 1
distract 1
dominic 1
done 1
drawing 1
drug 2
during 1
easily 1
easy 1
edinburgh 1
edition 1
editions 1
editors 1
education 1
effects 1
efforts 1
elaborated 1
election 1
eliot 1
elite 1
emerging 1
england 1
english 2
enormous 1
establishment 1
even 1
events 1
eventually 1
examines 1
example 2
explanatory 1
explore 1
expressed 1
expression 1
failing 1
failure 1
festival 1
first 2
for 7
forces 1
form 1
fringe 1
from 5
funerals 1
gain 1
gay 1
good 1
government 1
governments 1
greater 1
greatly 1
growing 1
had 6
has 1
have 3
he 16
health 2
heat 1
highlyeffective 1
his 7
historian 1
history 3
hitchens 11
homosexual 1
homosexuality 1
huge 1
husbands 1
hypocritical 1
identifies 1
ii 1
ill 1
illustrate 1
impact 1
in 21
increased 1
influence 1
instances 1
intention 1
intervening 1
intervention 1
introduction 1
is 5
issue 1
it 7
its 1
itself 2
jagger 2
jenkins 4
kingdom 1
labour 2
laments 1
language 1
largely 2
least 1
led 1
left 1
legislative 1
letter 1
liberal 3
literary 1
literature 1
liturgy 1
lobbyists 1
look 1
lumping 1
lung 1
made 4
main 2
major 1
manifestoes 1
matters 1
members 1
men 1
mentioned 1
merit 1
message 1
methodology 1
mick 1
mid160s 2
mind 1
monopoly 1
moral 4
morality 2
morally 1
more 1
mother 1
motherhood 1
multiculturalism 1
myths 1
none 1
not 3
numbers 1
obscene 1
occurred 1
of 45
on 8
one 2
openly 1
operas 1
opinion 1
opposed 1
or 3
other 1
out 2
over 2
p135140 1
p321 1
paperback 1
parent 1
particular 1
party 1
passivity 1
past 1
period 2
periodicals 1
pills 1
place 1
polemic 1
policies 2
political 1
politician 1
poll 1
power 1
preface 1
preference 1
presence 1
princess 1
private 1
programme 1
programmes 2
promiscuity 1
propaganda 2
proposals 1
prosecution 1
proved 1
provide 1
public 5
publications 2
punishment 2
pursued 1
radio 1
refers 1
reinstated 1
rejection 1
related 1
removed 1
replace 1
research 1
resist 1
respectability 1
result 1
resulting 1
revolution 3
revolutionaries 1
roy 1
s 1
sandbrook 1
schools 1
scripture 1
section 1
sees 2
several 1
sex 1
sexual 3
should 1
since 2
single 1
so 2
soap 1
society 1
something 1
spread 1
staging 1
stance 1
standards 1
stands 1
still 1
straight 1
strength 1
subsequent 1
such 3
supposed 1
sustained 1
t 1
tangential 1
teach 1
television 3
temporary 1
than 1
that 12
thatcher 1
the 75
their 1
then 1
these 2
they 1
this 3
those 3
thoughts 1
three 1
thus 1
time 1
times 2
to 20
together 1
took 1
traditional 1
trial 1
troops 1
true 1
tv 3
two 1
underwent 1
united 1
unmarried 2
unwillingness 1
us 1
usage 1
use 3
used 1
using 2
view 1
wales 1
war 1
warnings 2
was 8
watching 1
weak 1
wedlock 1
went 1
what 2
wheel 1
when 1
where 1
which 5
white 1
who 3
widowers 1
widows 1
winston 1
with 4
wives 1
working 1
world 1
would 2
written 1
wrote 1
