9680394
/m/02pnznq
/m/02pnznq
Franz Kafka
1931
a 4
able 1
about 1
an 1
and 5
attempt 2
attention 1
become 1
being 1
bring 1
christmas 1
community 1
conversation 1
defend 1
derision 1
dialog 1
different 1
discuss 1
discusses 1
during 1
each 2
even 1
existence 1
expecting 1
far 1
finish 1
giant 2
he 1
him 1
his 1
honesty 1
in 3
is 1
its 1
knowing 1
mole 2
more 1
motivations 1
narrator 3
object 1
of 4
one 2
only 1
outcome 1
paper 1
phenomenon 1
public 1
schoolmaster 3
scientific 1
the 14
to 6
tries 1
unsuccessful 1
village 3
was 1
without 2
