1245832
/m/04lsk0
/m/04lsk0
Raymond Benson
1997-04-03
007 1
1 1
17 1
a 15
abandoned 1
after 3
alive 1
also 1
an 2
and 15
announcement 1
announces 1
as 7
assassin 1
at 5
attacks 1
attempts 1
attends 1
australia 2
australian 1
avenges 1
battle 1
be 1
because 1
been 1
behalf 1
between 1
blast 1
blown 1
board 1
bomb 4
bond 14
breaking 1
breakout 1
british 3
by 3
captain 1
captured 1
car 1
casino 1
catches 1
cause 1
cheater 1
cheating 2
china 3
chinese 1
claimed 2
claims 2
company 2
conference 1
contact 1
contacts 2
control 1
could 1
cover 1
days 1
deal 1
death 1
debt 1
defuse 1
delivers 1
descendant 1
descendants 2
detonate 1
detonated 1
directors 1
disrupt 1
document 4
down 1
dragon 1
drowned 1
due 1
employees 1
england 1
enterprises 4
entire 1
eurasia 4
ever 1
exchange 1
executed 1
family 1
finally 1
find 1
followed 1
following 1
for 2
forced 1
forces 1
fragile 1
friend 1
from 4
general 4
give 1
given 1
go 2
government 1
grants 1
guangzhou 2
guise 1
guy 1
hand 1
handover 2
harbour 1
has 1
have 1
he 4
head 2
her 1
his 6
hong 6
hostess 1
identity 1
if 1
immediately 1
in 10
investigate 2
investigates 1
involves 1
is 12
it 3
july 1
killed 1
killing 1
kong 6
large 1
largescale 1
later 2
led 1
legacy 1
legal 1
li 11
link 1
lives 2
longforgotten 2
lose 1
loss 1
macau 1
magnate 1
mahjong 1
make 1
makes 1
meets 1
midnight 1
mining 1
moment 1
money 1
much 1
nan 6
navy 1
nears 1
nuclear 4
numerous 2
oath 1
of 21
off 1
on 2
out 2
outback 1
own 1
ownership 2
pei 2
people 2
place 2
plans 1
press 1
previous 1
protect 1
record 1
republic 2
retaliation 1
retrieve 1
retrieves 1
returning 1
rightful 1
royal 1
secrecy 1
secret 1
secretly 1
selling 1
series 1
several 1
she 1
shipping 1
simultaneously 1
society 1
solicitor 1
sovereignty 1
stealing 1
successfully 1
sum 1
sunni 2
supposed 1
suspects 1
takes 1
taking 1
tam 2
ten 1
terrorist 1
test 1
thackeray 8
that 5
the 35
though 1
through 2
to 18
track 1
transfer 1
travels 1
triad 2
triads 1
turns 1
ty 2
under 1
unknown 1
unreported 1
upon 1
uranium 1
uses 1
very 1
war 1
wealthy 1
wei 2
well 2
were 2
when 1
where 1
which 2
who 3
will 1
wing 1
winning 1
with 2
wong 4
woo 2
xu 6
