7157210
/m/0h781t
/m/0h781t
Jim Butcher
2004-10
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/03qfd": "High fantasy"}
a 19
academy 1
after 1
air 1
aircraft 1
aldrick 9
alera 2
aleran 1
alerans 1
alive 1
although 1
amara 15
an 1
and 56
animals 1
another 2
aquataine 4
araris 2
are 7
aric 2
arrives 1
arriving 1
as 1
at 1
atsurak 3
attack 5
attacked 3
attacks 2
attempt 1
away 1
back 2
based 1
become 2
been 1
before 3
benard 1
bernard 12
betrayed 1
bird 1
bittan 1
bond 2
bonds 1
born 1
bring 1
but 2
by 10
camp 1
can 1
capture 1
captured 2
caria 1
cave 1
change 1
changes 1
children 1
citizenship 1
city 1
colour 1
contact 1
contains 1
continue 1
control 1
controlled 1
convince 1
convinces 1
count 1
countess 1
crafters 1
cursori 1
dagger 1
daughter 1
decides 1
dedicated 1
defeat 1
defeats 1
different 1
dim 1
discover 2
does 1
doroga 4
during 1
earth 1
ease 1
element 1
elements 1
empire 1
escape 2
escapes 1
ever 1
ex 1
example 1
exercise 1
eyes 1
faces 1
fade 7
feelings 1
fidelias 9
fight 2
find 1
finds 3
fire 1
first 5
floods 1
for 4
form 1
fought 1
from 1
fury 1
furyless 1
furystorm 1
gain 1
gaius 4
garrison 8
given 1
gladius 1
go 3
gone 1
graduation 1
granted 1
greatest 1
greeted 1
had 2
has 1
he 4
head 2
headman 1
heal 1
help 2
her 9
here 1
hides 1
him 4
hinted 1
his 5
hits 1
hold 1
horses 1
immediately 1
in 5
infiltrate 1
inividia 1
instructs 1
invade 1
is 12
isana 9
it 2
kill 2
killed 1
kills 1
kitai 2
kord 6
kordholt 3
late 1
leader 2
leaves 1
legendary 1
legionares 1
let 1
life 1
locked 1
lord 4
lost 1
lover 1
makes 2
making 1
man 1
marat 8
marriage 1
match 1
meaning 1
memorial 1
mentor 1
mercenaries 1
merit 1
messengers 1
metal 1
missing 1
named 3
nephew 1
not 2
odiana 8
of 16
off 2
oldest 1
on 2
one 4
or 1
other 1
own 1
part 1
people 2
person 1
place 1
princeps 4
process 1
raped 1
rather 1
realising 1
return 1
reunites 1
river 1
rouse 1
running 1
saving 1
scholarship 1
second 1
seeking 1
seemingly 2
septimus 2
servant 1
service 1
sextus 1
sheep 2
shelter 1
since 1
sister 1
skills 1
slaver 1
sleeping 1
soldiers 1
some 1
son 4
sort 1
spies 1
split 1
splits 1
stay 1
stays 1
steadholder 1
steadholt 6
stop 2
story 2
survived 1
switches 1
swordsman 2
takes 2
tavi 17
than 1
that 3
the 45
their 2
them 2
then 1
they 7
this 1
through 3
throws 1
title 1
to 22
together 1
track 1
training 1
travel 1
travels 1
trial 2
tribes 1
tricked 1
two 2
undergo 1
undergoing 1
understand 1
up 1
uses 1
using 1
valerian 2
wall 1
war 2
warrior 3
was 1
washed 1
water 1
watercrafter 1
watercrafting 1
way 1
when 6
where 3
which 3
while 2
who 8
wife 3
wins 1
with 11
witted 1
woman 2
wood 1
woods 1
wounded 1
young 1
