4541627
/m/0c7yr7
/m/0c7yr7
George Pelecanos
2002-03
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 3
an 1
and 3
as 2
associate 1
background 1
beautiful 1
by 2
central 1
concerns 1
continuing 1
daughter 1
dc 1
deadbeat 1
dealers 1
debt 1
disappeared 1
drug 2
efforts 2
engaged 1
explanation 1
friend 1
girl 1
has 1
in 1
incidental 1
intended 1
into 1
investigation 2
involve 1
is 1
killers 1
killing 1
killings 1
locate 2
man 1
marry 1
murder 1
murders 1
nephew 1
noaccount 1
novel 1
novels 1
of 7
over 1
plotline 1
plotlines 1
potentially 1
prostitution 1
quinn 1
repercussions 1
secondary 1
shady 1
starting 1
stranges 4
terry 1
the 12
through 1
title 1
to 3
trade 1
unpaid 1
victim 1
victims 1
wealthy 1
well 1
white 1
who 2
with 1
world 1
young 2
