2993226
/m/08j8_s
/m/08j8_s
Samuel Beckett
1951
a 25
across 1
admits 1
affair 1
after 3
along 1
alternates 1
amount 1
an 7
and 25
animosity 1
any 1
anymore 1
anyone 1
anything 1
are 5
as 3
assigned 1
asylum 1
at 2
attendant 1
away 1
back 3
bacon 2
bay 1
bearded 2
beckett 1
becomes 1
bed 2
been 1
before 1
begin 1
behind 1
being 1
between 2
big 1
blocks 1
bloodied 1
boat 4
bone 3
book 2
boy 1
breaks 2
brimless 1
broke 1
broth 1
but 3
by 4
called 1
camier 1
carved 1
cell 1
changes 1
charitable 1
chef 1
closes 1
coachman 1
colossi 1
comes 1
conjectures 1
constitute 1
constitutionfrom 1
crosses 1
crucified 1
crucifix 1
cut 1
dealparticularly 1
deals 1
delight 1
demalone 1
depositing 1
described 1
died 1
dime 1
dinghy 1
disembark 1
does 1
down 1
dr 1
drifts 1
driven 1
dropping 1
druid 1
dwindling 1
each 1
ear 1
effects 1
either 2
elderly 1
else 1
end 1
ernest 4
eventually 2
excursion 1
exercise 1
existence 1
faints 1
falls 2
far 2
fat 2
final 1
finding 1
firstperson 1
five 2
float 1
for 3
four 1
fragments 1
friday 1
frmalone 1
from 3
get 2
giant 2
god 1
good 1
greeted 1
grounds 1
group 2
has 3
hat 1
hatchet 2
have 1
having 1
he 12
her 2
him 2
hip 1
his 11
hit 1
holding 1
hospitalhe 1
however 1
image 1
in 11
inmates 2
institution 2
into 3
is 11
island 2
issue 1
it 4
itmalone 1
its 2
jesus 2
john 2
juice 1
killed 1
kills 2
lady 6
large 1
last 1
lead 1
learns 1
leave 2
leaving 1
lemuel 10
lies 1
like 1
list 1
long 1
look 1
ludicrous 1
lyor 1
macmann 4
majority 1
makes 1
malone 8
man 5
maurice 3
men 1
mercier 1
meurt 1
minutiae 1
misshapen 1
moll 1
molloy 1
moran 1
most 1
mud 1
muore 1
murphy 1
naked 1
name 2
named 4
narrator 1
nearby 1
neck 1
new 1
night 1
no 1
nomalone 1
not 6
notably 1
novel 2
now 1
nurse 1
nursean 1
observational 1
observations 1
of 20
off 1
old 1
on 6
openended 1
or 3
others 2
out 3
over 1
own 1
pedal 6
pencil 2
personal 1
philosophical 1
picnic 1
picnicking 1
piece 2
point 1
previous 1
process 1
protagonists 1
provided 1
razor 1
reach 1
reaches 1
receiving 1
refers 1
refuses 1
regularly 1
remains 1
representing 2
requests 1
retained 1
return 1
riding 1
room 1
sailor 1
sapo 4
saxon 3
see 1
seems 1
sees 1
semantically 1
sentence 1
served 1
set 1
several 1
sexual 1
she 4
sight 1
site 1
situation 1
six 2
small 1
some 1
sometimes 1
soup 2
soupthe 1
st 2
stairs 1
stay 1
stick 1
stirbt 1
story 2
stranger 1
stumbling 1
such 1
sucks 1
suits 1
support 1
sure 2
take 2
taken 2
takes 2
tangential 1
telling 1
tells 1
terrace 1
text 2
that 5
the 40
them 1
there 2
they 3
thicklipped 1
thieves 1
thin 1
thing 1
things 1
think 1
this 1
though 4
thoughts 1
times 1
to 17
too 1
tooth 1
total 1
trip 1
trmalone 1
turn 1
two 4
umbrella 1
up 1
upon 1
uses 1
ventures 1
waggonette 1
was 1
when 3
where 2
which 2
while 3
who 1
whom 1
will 1
with 12
woman 1
writes 1
writing 2
written 1
young 1
