1657850
/m/05l6qn
/m/05l6qn
Larry Niven
1973
166 1
220 1
a 22
abducted 1
abductor 1
about 1
absolutely 1
act 1
action 1
adult 1
alice 1
alien 1
an 3
and 15
are 2
army 2
arrival 1
arrive 1
as 1
aside 1
asteroid 2
at 3
atmosphere 1
attempts 1
attention 1
away 1
battle 2
be 1
been 1
before 1
befriends 1
below 1
belt 1
belter 2
bible 1
bloodline 1
book 3
bottom 1
breaking 1
brennan 14
but 1
by 5
called 3
cannot 1
captures 1
care 1
carrying 1
central 1
childless 1
collected 1
colonists 1
colony 3
completes 1
comprises 1
conceit 1
confinement 1
consumption 1
content 1
conversion 1
convert 1
converts 1
crash 1
cultivated 1
defensive 1
descendants 1
described 1
design 1
despite 1
detail 1
die 1
discovers 1
distant 1
distinct 1
divert 1
during 2
earth 2
effectively 2
effort 1
either 1
ends 1
engineered 1
entire 1
event 1
events 1
evolved 1
explicitly 1
fabricated 1
fiction 1
figure 1
find 1
first 2
fleet 3
follows 2
for 3
form 2
from 5
galaxy 1
garner 1
genesis 1
genocide 1
goal 1
greater 1
had 2
half 3
has 3
have 2
he 4
headed 1
heads 1
helps 1
heroes 1
him 1
himself 1
his 5
hole 1
home 4
homeworld 1
hospital 1
how 1
human 5
humanity 1
humans 3
ice 1
immediately 1
impelled 1
implication 1
in 15
incident 1
inconstant 1
infected 2
infecting 1
inhabitants 1
inherent 1
initial 1
intelligence 1
into 3
invasion 2
is 13
it 3
its 2
jack 2
jordan 2
journey 1
juvenile 1
key 1
kills 3
know 1
kobold 1
land 1
lands 1
large 1
later 1
least 1
lethal 1
life 1
lucas 1
man 1
mars 2
martians 1
mediated 1
meet 1
memory 2
mentioned 2
metabolism 1
modified 1
moon 1
must 1
mutated 1
named 4
narrated 1
necessity 1
never 1
new 1
nick 1
niven 1
no 1
none 1
novel 2
number 1
of 30
on 5
only 2
or 2
order 1
originally 1
other 2
our 1
out 5
outer 3
outpost 1
pak 9
paradise 1
particular 1
path 2
phases 1
phssthpok 3
plan 2
planet 1
plans 1
plant 2
plot 1
point 1
population 1
preparing 1
protecting 1
protector 4
protectors 4
published 1
pursuing 1
quickly 2
raise 1
reaches 1
realize 1
remaining 1
represents 1
rescued 1
rest 1
resulting 1
root 2
roy 1
ruthlessness 1
same 1
save 1
science 1
scout 1
search 1
searching 1
second 1
sending 1
separated 1
serves 1
set 1
ships 1
short 1
sohl 1
sojourn 1
sol 1
solar 4
sought 1
space 2
species 3
spreads 1
stage 2
start 1
stated 1
store 1
stories 1
story 1
strain 1
strength 1
superhuman 1
system 5
takes 1
telling 1
than 1
that 12
the 47
their 4
they 3
this 3
those 1
thus 2
thwart 1
time 1
to 16
towards 1
transformed 1
transition 1
travelled 1
tree 1
treeoflife 3
truesdale 8
two 3
ultimate 1
underscore 1
understands 1
upon 2
utter 1
vague 1
variant 1
virus 2
water 2
where 1
which 3
while 1
who 5
wiped 1
with 6
worker 1
world 1
xenophobia 1
years 1
younger 1
