854427
/m/03hgzq
/m/03hgzq
Joseph Conrad

{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/059r08": "Psychological novel"}
a 12
abandoning 1
abandons 1
acquires 1
actions 1
ali 1
allang 1
alone 1
also 2
although 1
an 1
and 13
angry 1
are 4
as 4
at 2
attacked 1
bandit 1
be 1
becomes 2
befriend 1
both 1
british 2
brown 2
bugis 3
bullet 1
but 1
by 3
can 1
captain 2
catches 1
certificate 1
chance 1
chandler 1
charles 1
chest 1
chief 1
clerk 1
comes 2
command 1
community 1
conrad 1
corrupt 1
court 3
crew 2
dain 1
darkness 1
days 1
death 1
dereliction 1
disclosed 1
doramin 1
driven 1
duty 1
east 1
end 1
evade 1
exposed 1
factor 1
fatal 1
few 2
finds 1
first 1
for 6
friend 1
from 3
full 1
further 1
gang 1
gentleman 1
hajj 1
he 5
heart 1
here 1
hero 1
hidden 1
him 4
himself 1
his 10
however 1
in 4
incident 1
incognito 1
initial 1
inland 1
inquiry 1
is 7
island 1
its 2
jewel 1
jim 12
joins 1
judicial 1
later 4
leader 3
leaving 1
length 1
living 1
local 1
lord 1
love 1
malay 2
marauder 1
marlow 4
mate 1
mecca 1
meets 1
members 1
misgivings 1
missing 1
mixed 2
moment 1
moral 1
moves 1
narrator 1
navigation 1
nearly 1
never 1
of 19
off 1
on 2
one 1
opportunity 1
opprobrium 1
other 3
over 1
participants 1
passengers 2
past 1
patna 3
patusan 1
people 1
picked 1
pilgrims 1
place 1
placing 1
population 1
predations 1
protecting 1
race 1
rajah 1
relieving 1
remain 2
remote 1
reprehensible 1
respect 1
retribution 1
returns 1
satisfied 1
saved 1
sea 1
seaman 1
sees 1
settlement 1
sherif 1
ship 4
slain 1
son 2
spite 1
stein 1
strips 1
suggests 1
surname 1
takes 1
the 31
their 1
them 2
they 1
three 1
title 1
to 6
town 1
travelling 1
trial 1
tries 1
tuan 1
tunku 1
unsoundness 1
up 2
us 1
waris 1
weakness 1
what 1
when 1
whenever 1
where 1
while 1
who 1
willingly 1
wins 2
with 3
woman 1
work 1
works 1
years 1
young 1
youth 1
