1387687
/m/04ykb4
/m/04ykb4
Connie Willis
1997
140s 1
1th 1
2057 1
20th 1
a 10
about 2
abstruse 1
against 1
air 1
altar 1
always 1
america 1
an 4
ancestor 1
and 12
anyone 1
anywhere 1
apart 1
are 3
arjumand 1
arrives 1
as 3
assigned 1
at 3
attempting 1
available 1
battle 1
be 2
beautiful 1
become 1
becoming 1
been 1
before 2
believe 1
berlin 1
besotted 1
bird 2
bishop 1
boat 1
boaters 1
bombing 1
bombs 1
born 1
bringing 2
brought 1
bulldog 1
but 1
butler 1
by 1
c 1
cat 2
cathedral 1
cats 1
cause 1
caused 1
century 2
changed 1
church 1
clear 1
colleagues 1
committed 1
contact 1
costumers 1
cousin 1
coventry 4
crime 1
crowds 1
cyril 1
deal 1
destination 1
developed 1
diary 1
did 2
direction 1
disruption 1
distemper 1
do 1
dog 1
dogs 2
don 1
down 2
dragooned 1
due 1
during 1
either 2
elope 1
emergency 1
end 2
england 1
era 1
event 1
extinct 1
fact 1
feline 1
for 2
form 1
fortunately 1
from 3
get 1
goads 1
grandfather 1
guarding 1
guild 1
had 2
happen 1
has 3
have 3
he 7
henry 1
her 2
hercule 1
herself 1
him 2
hire 1
his 2
historian 1
historians 1
history 2
hitler 1
holmes 1
hopes 1
hostile 1
however 1
hurry 1
identifies 1
if 2
in 10
into 3
involves 1
involving 1
is 11
isnt 1
it 7
itself 1
jerome 2
jet 1
journey 1
jumps 1
k 1
kindle 1
kittens 1
knows 1
ladies 1
lady 3
lag 1
languid 1
law 1
learns 1
lends 1
less 1
lifechanging 1
locks 1
london 1
lord 1
love 1
machine 2
made 1
making 1
many 1
marrows 1
marrying 1
mathematics 1
maud 1
may 2
meantime 1
meet 1
meets 1
mering 1
methods 1
might 1
miles 1
missing 1
money 1
montmorency 1
more 1
mr 1
much 1
muchings 2
must 1
mysterious 1
named 1
nature 1
navigating 1
ned 7
never 1
niece 1
no 1
not 3
nothing 4
object 1
objects 1
of 13
on 1
one 3
only 2
operating 1
or 1
order 1
oxford 3
packs 1
pandemic 1
party 1
peddick 2
people 1
pet 1
peter 1
phony 1
pilot 1
place 2
point 1
poirot 1
pretending 1
prevent 1
princess 1
professor 1
progress 1
promptly 1
protagonist 1
put 1
quickly 1
raf 1
raid 1
read 1
realized 1
recall 1
recognizes 1
recuperate 1
remember 1
return 3
returned 1
returnedand 1
returning 1
returns 1
right 2
rip 1
river 1
safeguards 1
say 2
scenery 1
schrapnell 3
search 1
sent 2
she 1
sherlock 1
significant 1
so 2
solution 1
something 1
specialist 1
spiritualists 1
st 1
still 1
stump 2
style 1
supposed 1
target 1
targetthey 1
terence 5
thames 2
that 4
the 40
theatrical 1
their 2
them 1
theoretically 1
there 1
they 2
this 1
through 1
thus 1
time 7
timelag 1
timelagged 1
timetravelinduced 1
to 25
tocelyn 1
too 1
tossie 6
travel 1
trewes 1
trip 1
unalterable 1
undergraduate 1
unfortunately 2
unravel 1
up 1
verity 3
victorian 2
virtually 1
visit 1
was 3
waterloo 1
what 2
when 1
where 1
which 4
who 3
will 1
wimsey 1
wisdom 1
with 3
woman 1
work 1
written 1
wrong 1
young 2
