2985452
/m/08ht03
/m/08ht03
Albert Uderzo


a 6
above 1
after 1
again 1
albums 1
alien 3
aliens 2
all 1
also 2
american 1
an 1
and 8
appear 1
are 1
as 1
asterix 2
back 1
becoming 1
been 1
before 1
being 2
boars 1
book 1
breaking 1
burning 1
called 1
camp 1
causes 1
causing 1
comes 1
comic 1
comics 1
confiscate 1
conquer 1
consumed 1
dc 1
defeat 1
departed 1
destroy 1
device 1
devices 1
disney 1
dogmatix 1
down 1
due 2
earth 1
effects 1
embarrassment 1
emerges 1
enlarged 1
erases 1
everyone 1
everything 1
evil 1
fight 1
forced 1
forgot 1
found 2
from 1
futuristic 1
gaulish 1
gauls 1
getafix 2
giant 1
gigantic 1
giving 1
great 1
happyfaced 1
has 3
have 1
he 4
him 1
his 6
historical 1
however 1
hunting 1
immune 1
immunity 1
in 5
incompatible 1
indulged 1
insectlike 1
is 2
it 3
japanese 1
just 1
know 1
known 1
landing 1
led 1
less 1
luckily 1
made 1
magic 3
manga 1
many 1
memory 1
mission 1
more 2
nagma 2
named 1
normal 2
obelix 2
of 5
off 1
on 4
one 2
or 1
order 1
other 1
out 2
outer 1
over 1
physiology 1
planets 1
potion 6
previous 1
realise 1
resembling 1
reveals 1
rigid 3
rival 1
robot 1
roman 1
says 1
secret 1
setting 1
ship 2
ships 1
side 1
size 1
soon 2
space 1
spaceship 1
sphere 1
state 1
style 2
styled 1
superheroes 1
switch 1
tadsilweny 1
temporarily 1
testing 1
that 2
the 23
them 1
they 3
throughout 1
to 13
toon 3
turns 1
two 1
universe 1
village 4
visit 1
walt 1
want 1
was 4
weapon 2
went 1
were 1
when 3
which 2
while 1
with 3
yellow 1
