24218325
/m/07khbhq
/m/07khbhq
Arthur Herman
2001
{"/m/05h83": "Non-fiction"}
1707 1
1745 2
a 11
able 1
adam 2
administer 1
advantage 1
after 1
all 2
allowed 3
allowing 1
american 4
among 1
an 1
and 29
another 1
antidote 1
antiquated 1
appreciation 1
are 1
around 1
as 1
attention 1
based 1
be 1
became 1
because 1
become 1
believed 1
benefited 1
bible 1
biographies 2
book 1
books 1
britain 4
british 2
brought 1
built 1
burden 1
business 1
but 1
by 2
calls 1
calvinist 1
capable 1
capitalism 1
centralised 1
chapters 1
chieftains 2
choose 1
cities 1
citizens 1
claims 2
clans 1
clergy 1
close 1
colonies 2
come 1
common 2
compatible 1
conservatives 1
consists 1
constantly 1
constitution 1
contribution 1
controlled 1
could 1
country 1
creating 1
creatures 1
culture 2
cultures 1
decimated 1
declaration 1
defeat 1
democracy 1
developed 1
development 2
diaspora 1
did 1
divided 1
down 1
dugald 1
during 2
each 1
economically 1
edinburgh 1
eight 1
empire 1
enforce 1
engine 1
english 3
enlightenment 3
environment 1
epicenters 1
epiphany 1
era 1
events 1
every 1
evolving 1
example 1
existed 1
face 1
families 1
famines 1
fight 1
first 1
flourish 1
focuses 2
for 7
form 1
foundation 2
francis 1
free 1
french 1
from 5
gave 2
generation 1
giving 2
glasgow 1
god 3
good 1
government 1
great 3
grew 1
had 3
hardline 1
has 1
he 1
health 1
henry 1
herman 5
historical 1
home 1
humans 1
hutcheson 1
idea 1
ie 1
illustrate 1
illustrated 1
immediately 1
immigrants 1
impact 1
impacts 3
imperialism 1
imports 1
in 8
independence 1
india 1
indigenous 1
industries 1
industry 2
inexpensive 2
influenced 1
instead 1
intellectual 1
intellectuals 1
into 2
invented 1
is 2
it 4
its 2
itself 1
jacobite 2
james 2
john 4
joined 1
kames 1
keep 1
kingdom 1
knox 1
labour 1
land 2
laws 2
led 1
liberal 1
liberalized 1
life 2
like 3
literacy 2
literate 2
literature 1
little 1
location 1
lord 1
lorded 1
lost 1
man 1
manage 1
many 1
market 1
match 1
mcadam 1
militias 1
mill 1
moderated 1
modern 3
modernity 1
monarchy 1
moral 1
more 1
most 2
movement 1
much 1
negative 1
not 2
novel 1
of 20
on 4
one 1
open 1
or 1
ordained 1
original 1
others 2
over 2
own 2
owned 1
paid 1
parish 1
part 3
parts 1
people 3
permitted 1
persisted 1
place 1
power 2
preached 1
presbyterianism 1
presents 1
pringle 1
product 1
profits 2
public 1
rapidly 1
rates 1
read 1
realized 1
rectified 1
reduced 1
reformation 1
refugee 1
reinforced 1
religious 1
required 1
resented 1
revolutionary 1
rising 2
robert 1
robust 1
roots 2
run 1
same 1
saved 1
school 2
schools 1
science 1
sciences 1
scotland 3
scots 11
scott 1
scottish 9
scottishoriented 1
second 2
selfconfidence 1
selfconscious 1
sense 1
sir 1
smith 1
so 1
social 2
society 2
sophisticated 1
stagnation 1
states 1
steam 1
stewart 1
structure 1
sympathised 1
take 2
telford 1
than 1
that 12
the 48
their 4
there 1
they 4
this 1
thomas 1
those 1
though 1
thought 1
to 19
today 1
trade 1
trying 1
two 1
understand 2
via 1
victorian 1
walter 1
wanted 1
war 1
was 4
watt 1
way 1
were 3
when 1
which 1
white 1
who 4
with 3
witherspoon 1
world 2
writers 1
