3670937
/m/09tkmd
/m/09tkmd
Manuel Puig
1979
170s 1
a 7
age 1
aging 1
alternates 1
an 2
and 2
another 1
are 1
argentine 1
between 1
by 1
carries 1
central 1
confined 1
cyborg 1
europe 1
extramarital 1
fiction 1
government 2
her 1
here 1
ii 1
in 7
intrigues 1
involved 1
involving 1
is 5
leading 1
men 1
mexican 1
named 1
narrative 3
narratives 1
of 2
on 2
one 1
others 1
performing 1
polar 1
postapocalyptic 1
prostitute 1
protagonist 1
reality 1
representation 2
romance 1
sanitarium 1
science 1
second 1
sense 1
separate 1
serves 1
sexual 1
she 1
sponsored 1
tale 1
the 8
therapy 1
therefore 1
third 1
this 1
to 2
unconscious 2
up 1
various 1
w218 1
war 1
who 1
woman 3
world 1
years 1
