26467887
/m/07dlq
/m/07dlq
Stephen King

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
100 2
12hour 1
2025 1
30 1
4800 1
a 27
able 1
accepts 1
addition 1
additional 1
after 4
air 1
airport 2
alive 1
allowing 1
almost 1
along 1
also 1
amelia 3
america 1
an 5
and 34
any 1
anywhere 1
appear 1
appeared 1
appearing 1
are 2
areas 1
arranging 1
as 9
asleep 1
at 1
autopilot 1
avoid 1
avoids 1
away 1
back 2
basement 1
be 4
become 2
been 1
before 3
begins 1
being 2
ben 1
betrayed 1
billion 1
black 1
blacklisted 1
blocks 1
bluff 1
bobby 1
book 1
boston 2
both 1
bradley 7
bring 1
broadcast 1
broadcasting 1
brutally 1
building 1
but 5
by 8
call 1
calls 1
camden 1
camera 1
can 2
capture 1
carjacks 1
carrying 1
cash 1
cathy 2
challenges 1
checkpoint 1
citizen 1
city 4
close 2
comes 1
confronted 1
confused 1
contestant 2
continue 1
contract 2
coop 2
crashing 1
crew 1
crime 1
dan 1
dangerous 1
daughter 1
day 1
days 4
deaths 1
decision 1
declared 1
default 1
derry 1
description 1
desperation 1
detected 1
detroit 1
did 1
discuss 1
disguise 1
disguises 1
distract 1
does 1
dollars 1
down 3
dreams 2
dubs 1
during 1
dystopia 1
each 2
earlier 1
earns 1
economy 1
eight 1
elite 1
emerges 1
ends 1
enemy 1
enforcement 1
escape 2
escapes 1
evan 1
even 1
eventually 1
exists 1
expected 1
explosion 1
explosive 1
explosives 2
face 1
falls 1
false 1
family 4
few 1
fictional 1
find 1
finds 1
fire 1
first 2
five 2
flight 1
fly 2
for 8
force 1
form 1
friend 1
from 2
game 3
games 7
gang 1
get 1
ghetto 1
given 1
gives 1
government 1
governmentoperated 1
gravely 1
gruesome 1
halfblind 1
hampshire 1
harding 1
has 5
have 2
having 1
he 26
head 1
held 1
her 1
hesitant 1
him 6
himself 1
his 15
hitmen 1
holds 1
host 1
hostage 1
hour 1
hours 1
house 2
housing 1
however 1
hunted 1
hunter 3
hunters 3
identification 1
if 3
ill 1
impoverished 1
in 16
incorporate 1
indefinitely 1
information 1
informing 1
informs 1
into 2
irish 1
is 16
it 1
job 1
kept 1
kill 1
killian 6
kills 3
knows 1
labels 1
last 1
law 1
lead 2
learns 1
leaves 1
left 1
located 1
lose 2
low 1
lucrative 1
machine 1
mail 2
maine 2
make 1
makes 1
man 2
manages 3
manchester 2
mark 1
mccone 3
medicine 1
meets 1
member 1
men 1
mental 1
messages 3
midwest 1
missile 1
money 3
morning 1
mortally 1
most 1
mother 1
murdered 2
must 1
named 1
narrowly 1
needs 1
neglects 1
network 8
networkemployed 1
new 3
next 1
not 3
nothing 1
novel 1
nuclear 1
obscenities 1
obtains 1
of 15
off 1
offer 2
offers 1
officer 1
officers 1
on 6
one 1
only 2
onto 1
or 1
out 1
over 3
overpowers 1
override 1
owned 1
owner 1
pacify 1
parachute 1
passing 1
past 2
per 1
permanent 1
physical 1
pipe 1
plane 6
plastic 1
pocket 1
police 2
polluted 1
poor 1
popular 1
populated 1
portland 1
postmark 1
pretending 1
priest 1
prisoners 1
prize 1
proceed 1
producer 1
program 1
propaganda 1
prostitution 1
protagonist 1
provides 1
public 1
rained 1
real 1
receive 1
record 1
records 1
released 1
remailing 1
reported 1
resorted 1
resulting 1
rewards 1
richards 25
rigorous 1
rockland 1
runner 2
running 2
runs 1
safe 2
safety 1
says 1
scene 1
security 1
selected 1
send 1
sent 1
setting 1
severely 1
sewer 1
shambles 1
sheila 2
shelter 1
shot 1
show 2
shows 1
skyscraper 1
smuggles 1
so 1
some 1
somewhere 1
spends 1
standoff 1
start 1
starts 1
state 1
states 1
station 1
stays 1
story 1
strength 1
studio 2
suburb 1
surfacetoair 1
surpasses 1
surprise 1
survival 1
survives 1
system 1
take 1
takes 2
target 1
team 1
television 1
ten 1
testing 1
that 13
the 65
them 1
then 2
this 1
thompson 1
threats 1
throckmorton 1
through 2
time 2
to 33
tortured 1
totalitarian 1
toward 1
tower 1
towns 1
track 1
tracked 1
trade 1
travel 1
traveling 1
travels 1
tries 1
turns 1
twenty 1
two 1
unable 1
underclass 1
uses 1
video 3
videotape 1
videotapes 2
viewers 1
violent 1
voice 1
way 3
well 1
were 1
west 1
when 1
where 2
whereabouts 1
which 1
who 2
wife 1
will 5
williams 1
winterport 1
with 9
woman 1
work 1
world 2
worried 1
would 1
wounded 1
wounds 1
year 1
ymca 1
york 1
