6987252
/m/0g_15k
/m/0g_15k
Cecilia Dart-Thornton
2002
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
3 1
7 1
80 1
a 21
activate 1
advises 1
after 7
alive 1
also 3
an 3
and 28
angavar 1
answers 1
antagonist 1
arcune 2
are 1
as 1
ashalind 1
asks 3
assigned 1
at 3
atone 1
attack 1
attempts 1
avoid 1
away 1
balcony 1
bard 3
baroness 1
bars 1
befriends 1
beg 1
behavior 1
between 1
birds 2
bitterbynde 1
blind 1
book 1
bracelet 1
brother 1
but 4
by 1
cache 1
caermelor 2
caitri 3
call 1
captured 1
carlin 1
caused 1
characters 1
chief 1
childhood 1
children 1
commander 2
compainions 1
completed 1
conmorduke 1
continues 1
court 2
cover 1
crown 1
cruel 1
cured 2
dain 1
dainnan 3
dainnen 3
day 1
decoy 1
deformed 1
despite 1
destructionso 1
dianella 5
dianellathe 1
dinner 1
discovered 1
discovers 2
do 1
does 2
drag 1
drunken 1
duchess 1
duke 2
edward 2
emperor 2
enduring 1
enslaved 1
entourage 1
erith 1
escape 1
estate 1
evacuated 1
everything 1
evil 1
execution 1
exiled 2
explains 1
eye 1
face 1
faeren 2
faithful 1
familiar 2
father 1
feat 1
find 2
finvarnen 1
first 2
follow 1
for 5
forced 1
formerly 1
found 1
free 1
friend 1
frigate 1
from 5
gate 1
gave 1
get 1
gets 3
getting 1
girl 2
girls 1
given 1
gives 1
go 5
guineasthe 1
had 1
has 2
have 1
he 3
heads 3
heart 1
helped 1
her 28
heroine 1
herself 1
high 1
him 4
his 2
house 1
how 1
however 1
huntingtowers 4
identity 1
imperial 1
imposter 1
imrhein 2
imrheinlady 1
imrheinrohain 1
imrheinrohaintahquil 1
in 7
inform 1
information 1
informs 1
instantly 1
intoxicate 1
is 11
island 1
isles 1
isse 5
ivy 1
jailer 1
james 1
janet 1
jealous 1
journey 1
jump 1
killed 1
kind 1
king 3
kingemperor 1
know 1
lady 1
last 2
leads 1
leave 2
leaves 1
let 1
life 2
liitle 1
local 1
looks 1
lord 2
lost 1
love 1
lthe 1
maeve 1
maid 2
main 1
majesty 1
manages 1
marry 1
meaning 1
meets 1
memory 3
messengers 1
mission 1
morragan 1
mother 1
mute 1
mysterious 1
namarre 1
name 1
new 1
next 1
nice 1
night 1
not 2
of 17
off 2
on 3
once 2
one 2
only 1
onto 1
original 1
others 1
owner 1
paradox 1
part 1
past 1
peak 1
pennyrigg 1
perform 1
persuade 1
place 1
pleas 1
plunderers 1
pod 2
posed 1
prepared 1
prince 2
prison 1
proposal 1
protaginist 1
quest 1
race 1
ragged 1
ranger 1
rangerknight 1
rare 1
rash 1
realizes 2
recognizes 1
refuse 1
remembers 3
remove 1
renames 1
residence 1
reunited 1
reveals 1
rewarded 1
rohain 23
rohains 2
roxburg 1
roxburgh 3
royal 4
royalty 1
sanctuary 1
sargoth 1
saves 1
saw 1
sea 1
seems 1
sends 2
servant 1
servants 1
sets 1
she 21
shelter 1
sianadh 5
sianadhs 1
sildron 1
silken 1
slave 2
some 1
sorrow 1
spared 1
state 2
steps 1
stop 1
story 1
strenuous 1
suffering 1
suitor 1
survive 1
tahquil 1
talith 1
tamhaniatavaal 1
tamlain 1
tarrenys 1
tarrenysthe 1
tavaal 1
that 2
the 41
then 2
there 5
they 3
this 1
thomas 1
thorn 6
thornthe 1
threats 1
time 1
tipping 1
title 1
to 34
tower 4
treasure 2
tries 1
triggers 1
trilogy 1
trips 1
twists 1
two 1
uncle 1
under 1
unloading 1
unseelie 3
unwilling 2
using 1
ustorix 1
ustorixfuture 1
visits 1
viviana 3
voice 1
volcano 2
warrior 1
was 5
watchers 1
waterstair 1
wealth 1
welleslyrohain 1
when 5
where 4
whereabouts 1
which 4
while 2
who 9
wife 1
wilderness 1
with 8
without 1
wizard 1
woman 2
won 1
words 1
world 1
wrath 1
xvi 1
yet 1
young 1
your 1
