24914733
/m/09gcm9f
/m/09gcm9f
Garry Kilworth
2006-03
{"/m/01hmnh": "Fantasy"}
10 1
12 1
12yearold 1
130s 1
140s 1
6 1
8 1
a 12
about 1
adventure 2
alex 5
all 3
and 15
apartment 1
are 4
as 1
at 1
attack 1
attic 3
attica 1
atticans 1
been 1
begins 1
ben 1
brother 1
brothers 2
bumps 1
but 1
cannot 1
change 1
characters 1
children 1
chloe 8
clock 2
creatures 1
dark 1
died 2
dipa 2
discover 1
doctor 1
does 1
enlarges 1
everything 1
exact 1
family 1
father 3
find 3
five 1
frre 1
gave 1
ghosts 1
girl 1
go 1
going 1
gonna 1
grantham 1
half 1
happy 1
has 1
have 3
having 1
he 3
heads 1
heart 1
her 3
him 1
home 1
house 1
humans 1
husband 1
in 3
is 3
jacques 1
john 1
jordy 4
just 1
kids 2
lifetime 1
lives 1
loved 1
man 2
married 1
members 1
monsters 1
months 1
mother 1
move 1
mr 1
much 1
named 1
new 2
not 2
of 9
offers 1
old 1
older 2
on 2
opposite 1
out 1
paramedic 1
parents 1
race 1
rented 2
respectively 1
richer 1
secrets 1
she 1
since 1
sings 1
so 4
sorts 2
stepfather 1
such 1
surprise 1
susan 2
take 1
tells 1
than 1
that 6
the 12
their 5
them 1
they 6
think 1
though 1
three 1
to 6
trying 1
used 1
way 1
weird 2
were 1
when 4
winchester 1
with 1
