14977169
/m/03h3h_m
/m/03h3h_m
Walter Moers
2004
333 1
a 6
advice 1
all 2
also 1
amazing 1
an 2
and 7
anyone 1
appreciation 1
arrival 1
art 1
as 2
aspiring 1
author 2
authorial 1
awakes 1
because 1
beneath 1
bloodthirsty 1
book 3
bookholm 4
books 3
but 2
by 1
cafe 1
can 3
catacombs 2
city 3
comes 1
completely 1
contact 1
control 1
danger 1
dangerous 1
dangers 1
darkman 1
deadly 1
dinosaur 1
directs 1
dreaming 1
entire 1
eradicate 1
falls 2
famous 1
first 1
flee 1
for 2
forms 1
fulfill 1
german 1
gets 1
given 1
godfather 1
happens 1
he 6
help 1
hidden 1
hildegunst 1
him 2
himself 1
his 5
hope 1
hoping 1
horrors 1
house 1
hunger 1
hunters 1
in 9
including 1
inconceivable 1
inexplicably 1
inherits 1
injure 1
insects 1
inspiration 1
into 2
is 4
its 1
kill 1
kinds 1
king 1
labyrinthine 1
lie 1
lindworm 1
literary 1
literature 1
love 1
lurking 1
many 1
monstrous 1
most 1
much 1
mystery 1
mythenmetz 1
of 14
on 1
one 1
optimus 1
or 1
other 1
perfect 1
pfistomel 1
picking 1
places 1
plan 1
poisoned 1
possessions 1
publisher 1
questions 1
real 1
reveals 1
riddle 1
search 1
shadow 1
shower 1
smyke 3
solve 1
sorts 1
spark 1
still 1
story 2
street 1
stretch 1
the 14
them 1
then 1
this 1
throughout 1
to 6
touches 1
toxicotomes 1
trade 2
travels 2
tricked 1
unconscious 1
unfortunately 1
unimaginable 1
unknown 2
up 1
upon 1
valuable 1
various 1
vast 1
version 1
von 1
warned 1
well 1
when 2
which 2
while 1
who 3
with 2
worst 1
writer 2
written 1
yarnspinner 4
zamonia 3
