4516338
/m/02p8939
/m/02p8939
Kenneth Oppel
2007-08-16
{"/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 24
able 1
acceptance 1
after 1
again 1
against 1
all 3
alliance 1
allow 1
along 2
also 1
among 1
an 6
and 28
another 1
any 1
appears 1
appetite 1
are 2
arrive 1
as 1
attack 1
attacked 2
attacks 2
back 1
bat 1
batch 1
bats 1
be 3
beasts 1
before 2
being 2
between 1
bird 1
book 1
born 1
brethren 1
but 6
by 7
called 2
calls 1
can 2
carcasses 1
carnassial 8
caught 1
cave 3
chiropter 1
chiropters 6
claim 1
clutch 1
colony 6
come 1
comes 1
consisting 1
control 1
creature 1
creatures 1
cross 2
cunning 1
cuts 1
deadly 1
debate 1
deserted 1
desire 1
desperation 1
destroy 5
destroys 1
devour 2
diatryma 1
different 1
difficulty 1
dinosaur 1
discover 1
discovers 1
diseaseridden 1
do 1
doesnt 1
drive 1
due 1
dusk 18
earlier 1
echolocation 1
eerie 1
eggs 6
encounters 2
ends 1
enlist 1
entrance 1
escape 1
escaping 1
eventually 1
exist 1
extinction 1
father 1
fear 2
felid 1
felids 5
fellow 1
fights 1
find 6
finds 2
flesh 1
fleshcraving 1
flight 1
fly 2
follows 1
for 5
form 1
freak 1
from 2
fulfils 1
gets 1
giant 3
glide 1
good 1
has 3
hatch 1
hatched 1
have 2
having 2
he 12
help 1
hidden 1
him 3
himself 2
his 14
hollow 1
home 4
horrible 1
however 3
hyaenodon 1
hyaenodons 6
if 1
in 7
insatiable 1
inside 1
into 1
invaded 1
is 8
island 3
it 6
its 1
itself 1
keep 1
keeps 1
kill 2
known 1
large 1
larger 1
last 1
leads 2
learns 1
leaving 1
life 1
like 2
live 1
looks 1
loose 1
mammals 1
manipulate 1
many 3
mate 2
meanwhile 1
meateating 2
meets 1
mostly 1
mother 1
nearly 1
needs 1
nest 1
new 5
of 19
on 3
once 1
only 2
order 2
other 5
others 1
out 3
outside 1
over 1
overwhelm 1
pack 2
pact 2
panthera 3
parents 2
participate 1
peaceful 1
place 1
plan 1
power 1
powerful 1
powers 1
predators 2
promising 1
protobats 1
protocat 1
rather 1
realise 1
refuge 3
refusal 1
regarded 1
rescued 1
rogue 1
rotting 1
rule 1
runners 1
sacrificing 1
safety 1
sails 1
saurian 6
saurians 2
savannah 3
schemes 1
scouting 1
secret 1
seek 2
seemingly 2
sequoia 1
shearing 1
shrewlike 1
shunned 1
side 1
similar 1
simple 1
sister 2
skeleton 1
soricids 2
species 1
spider 1
still 1
strikes 1
suppressing 1
sylph 8
take 1
taught 1
teeth 1
tells 1
than 1
that 6
the 39
their 6
them 8
there 1
they 4
this 1
though 1
through 3
to 32
tree 2
trying 2
two 1
type 1
under 1
underground 1
unhatched 1
unidentified 1
uninhabited 1
unintelligent 1
union 1
unique 1
up 1
urge 1
using 1
venomous 1
way 4
web 2
weeks 1
when 2
where 2
whereas 1
whether 1
which 2
while 3
who 1
will 3
wings 1
with 9
world 1
young 2
