5500192
/m/0dpm_b
/m/0dpm_b
Peter O'Donnell
1966
a 8
afghanistan 1
and 15
animal 1
are 3
army 2
asks 1
assembling 1
at 1
being 1
blaise 1
bordering 1
both 1
british 1
by 1
can 1
child 1
choice 1
civilization 1
command 1
commands 1
couple 1
dear 1
defeat 2
disappearing 1
does 1
duty 1
employer 1
escape 1
even 2
falls 1
far 1
fearsome 1
fight 2
fighting 1
for 4
forced 1
fourarmed 1
fourlegged 1
from 2
garvin 1
gerald 2
government 1
growing 1
has 3
have 1
he 3
hidden 1
hindu 1
hire 1
his 3
how 1
huge 1
if 1
impossible 1
in 2
invasion 2
investigate 1
is 4
isolated 1
joined 1
karz 4
kidnapped 1
knowing 1
known 1
knows 1
kush 1
kuwait 2
lacks 1
large 1
leader 1
lieutenants 1
long 1
looking 2
lucille 2
many 1
meanwhile 1
men 1
mercenaries 2
military 1
modesty 8
mongol 1
mountains 1
never 1
no 1
not 1
noticed 1
now 1
objective 1
occupation 1
of 5
oilrich 1
on 2
one 1
organization 1
plays 1
possible 1
problem 1
recruited 1
report 1
runs 1
sabotage 1
save 1
secret 1
sections 1
service 1
she 1
shot 1
shoulders 1
sir 2
so 2
some 1
survives 1
tarrant 1
that 3
the 8
there 1
they 1
theyre 1
this 1
though 2
to 6
top 1
training 1
twins 1
two 2
under 1
unknown 1
valley 2
way 1
wellequipped 1
while 1
who 3
will 1
willie 6
without 1
worries 1
