6416956
/m/0g4kdm
/m/0g4kdm
Clive Cussler

{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
03 5
154 1
16inch 2
300 1
34 1
36 1
8 1
a 16
aar 5
able 1
accident 1
actually 1
admiral 5
africa 2
african 4
after 1
against 1
agency 2
air 2
aircraft 2
airdropped 1
al 1
all 1
allowing 1
american 1
an 3
and 25
any 1
anyone 1
apparently 1
are 1
arms 1
army 2
arrives 1
arsenal 1
as 2
assistant 1
at 1
atoll 1
attack 2
audacious 1
bacterial 1
bass 4
battleship 3
be 1
because 1
before 1
being 1
believes 1
bikini 1
biological 1
black 2
boeing 1
both 1
buckley 1
but 3
by 8
c7 1
cabin 2
calling 1
calls 1
can 1
capitol 1
captain 1
capture 1
cargo 3
carrying 1
causes 1
chiefs 1
clues 1
coast 1
codenamed 2
colorado 2
commander 1
company 2
congresswoman 1
control 1
convinces 2
crash 1
dale 1
daring 1
dc 1
de 2
deadly 4
death 2
decide 1
defense 1
denies 1
described 1
despite 1
destroy 2
determined 2
develops 1
director 3
dirk 1
discovered 1
discovering 1
discovers 4
discredit 1
divers 1
doomsday 2
draft 2
eight 2
enables 1
equipment 1
evidence 1
existing 1
expatriate 1
fall 1
family 1
fathers 1
fawkes 3
few 1
find 1
first 1
five 1
flight 1
fly 1
follows 3
for 8
force 3
forever 1
former 1
forward 1
found 2
fourmonth 1
friend 1
from 2
garage 1
giordino 1
goal 1
government 5
grounds 1
grows 1
guard 1
gutting 1
hands 1
has 1
he 3
help 1
her 3
higher 1
him 1
himself 2
hiram 1
his 4
holding 1
hoped 1
hopes 1
human 1
in 12
instant 1
intact 1
international 1
into 1
intuits 1
iowa 1
is 9
island 2
it 1
its 1
january 1
jarvis 1
joint 1
jumps 1
just 1
keep 1
kill 1
knowledge 1
lake 3
large 1
last 1
late 1
latenight 1
launch 1
launches 1
lead 2
led 1
life 1
loaded 1
local 2
loren 1
lost 1
lusana 1
major 1
manhattan 1
marine 1
massive 1
may 1
mckenzie 1
mercenaries 1
militants 1
military 1
minister 1
minority 2
missing 1
mission 2
mistakenly 1
mountain 1
mountains 1
much 1
must 2
national 2
nations 1
naval 1
navy 3
near 1
nearly 1
never 2
nicknamed 1
no 1
numa 2
ocean 1
of 23
off 1
on 5
operation 1
opinion 1
or 1
ordered 1
organism 4
organization 1
others 1
ounces 1
over 2
overthrowing 1
own 1
pacific 2
part 1
parts 1
patrick 1
phalanx 1
pieter 1
pitt 9
plan 6
plane 3
plot 2
potomac 1
power 1
president 1
proceed 1
projects 2
promise 1
public 1
purchased 1
put 1
qd 3
quick 1
quickly 1
raise 1
raises 1
raising 2
really 1
recover 1
recruits 1
render 1
republic 1
rest 1
retired 1
reveals 1
revolution 2
rid 1
ride 1
river 1
rocky 1
rose 1
royal 1
sail 1
salvaged 1
sandecker 1
sawatch 1
scrap 1
search 1
secretly 1
security 1
shell 1
shelling 1
shells 5
ship 2
shipment 1
site 1
six 1
slaughtered 1
smith 1
so 1
sold 3
some 1
someday 1
south 3
special 2
specialized 1
stated 1
states 3
station 1
stop 1
story 1
strain 2
stratofreighter 1
stronger 1
survey 1
sympathy 1
table 1
take 2
takes 1
targets 1
team 2
terrorist 2
terrorists 1
testing 1
that 11
the 72
then 1
there 1
they 3
this 2
time 1
to 23
topple 1
topsecret 2
trace 1
trail 1
transporting 1
two 1
unbeknownst 1
undergo 1
underwater 1
uninhabitable 1
united 3
unleash 1
until 1
up 2
us 1
use 2
used 1
using 1
vaal 2
vacationing 1
virulent 1
vixen 5
walter 1
warheads 1
was 5
washington 2
water 1
weapon 1
were 1
where 1
which 1
while 1
white 2
who 3
wild 1
win 1
with 6
would 2
wreck 4
years 2
