1143642
/m/04b1h2
/m/04b1h2
Jean Giono
1953

10000 1
110 1
120 1
145 1
147 1
a 14
abandoned 1
about 3
acorns 1
affecting 1
after 3
all 2
alps 1
also 1
and 16
are 1
as 1
authorities 1
away 2
banon 1
beauty 1
because 1
become 1
bee 1
begins 1
being 1
believe 1
bizarre 1
bouffier 7
buildings 1
but 1
by 4
chosen 1
civilization 1
collected 1
continues 2
crumbling 1
cultivating 1
curious 1
curling 1
dams 1
decades 1
decided 1
deeds 1
depressed 1
desolate 1
dried 1
drops 1
eden 1
elzard 1
empty 1
end 1
enjoying 1
every 1
except 1
fights 1
finds 1
first 2
for 1
forest 4
forms 1
four 1
france 1
friend 1
friends 1
from 1
full 1
garden 1
government 1
ground 1
grows 1
growth 1
happiness 1
has 5
he 5
helps 1
higher 1
hiking 1
him 2
his 3
holes 2
home 1
hospice 1
in 13
instead 1
into 3
is 10
isolated 1
it 1
keeper 1
kind 1
knows 1
landscape 1
largely 1
last 1
later 1
lavender 1
leaves 1
life 2
lone 1
lonely 1
longer 1
made 1
makes 2
man 4
many 1
middleaged 1
miles 1
mistakenly 1
more 1
mountain 1
move 1
narrator 7
natural 2
new 1
no 2
now 1
of 13
official 1
old 2
one 2
only 2
out 1
over 1
owing 1
passes 1
peace 1
peacefully 2
people 1
phenomenon 1
plant 1
planted 1
pole 1
protect 1
protection 1
provence 1
rapid 1
receives 1
recovery 1
regrowing 1
relatively 1
restore 1
returns 2
root 1
ruined 1
running 1
runs 1
saplings 1
saved 1
see 1
selfless 1
settled 1
sheep 1
shellshocked 1
shepherd 6
singlehandedly 1
spring 1
stays 1
story 2
streams 1
such 1
surprised 1
takes 1
taking 1
tells 1
than 1
that 2
the 42
their 1
them 1
there 2
they 1
this 3
through 2
time 2
to 6
trace 1
tree 2
treeless 1
trees 3
trip 1
truth 1
turned 1
unaware 1
undertaking 1
unknowingly 1
unspoiled 1
up 2
valley 7
very 1
vibrant 1
visit 1
visits 1
war 3
water 1
well 1
when 1
where 2
who 2
why 1
widowed 1
wild 1
wilderness 1
with 3
world 2
worried 1
year 2
young 3
