14076166
/m/03cstf1
/m/03cstf1
William E. Bell
1990
{"/m/03mfnf": "Young adult literature"}
17year 1
1st 1
2th 1
30th 1
a 7
about 1
affairs 1
airplane 1
airports 1
alex 7
almost 1
always 1
an 1
and 13
april 1
are 3
as 2
at 1
back 2
basically 1
be 2
before 2
begins 1
beijing 6
best 1
book 2
both 2
boy 1
brenda 1
broadcasting 3
came 1
camera 1
can 1
canada 2
canadian 3
catch 1
chapter 2
china 3
chinese 3
corporation 3
cover 1
coworker 1
dad 3
didnt 1
divorced 1
does 1
drives 1
drunk 1
ecstatic 1
eddie 3
editing 1
enjoys 1
everything 1
father 1
flew 1
footage 1
for 5
from 2
gets 1
go 1
gorbachev 2
got 1
gotten 1
gravol 1
has 3
helps 1
him 2
his 5
history 3
hospitals 1
hotel 1
in 6
into 3
introduced 1
is 3
jackson 4
job 1
jobshobbies 1
journalist 1
land 1
lao 2
leave 1
lens 1
life 1
lining 1
live 1
loves 1
making 1
man 2
march 2
meet 2
mentioned 1
mikhail 1
military 2
mode 1
named 3
night 1
of 4
official 1
old 1
on 1
person 1
place 1
possible 1
premier 1
protests 1
puts 1
rearing 1
recently 1
record 1
referred 1
related 1
replace 1
revealed 1
russian 1
sees 1
sent 1
shot 1
sick 1
sleepy 1
some 1
someone 1
staying 1
steer 1
stream 1
student 1
subjects 1
takes 2
ted 7
that 2
the 12
their 1
them 1
then 1
they 7
this 5
through 2
to 16
toronto 3
travels 1
treated 1
up 1
usually 1
vancouver 2
video 1
visit 1
want 1
was 1
were 2
where 1
which 1
while 1
who 4
wife 1
will 1
with 2
works 2
xu 2
you 1
