30857810
/m/0gk_ncw
/m/0gk_ncw
Anthony Horowitz

{"/m/06wkf": "Spy fiction"}
30 1
40 1
a 47
abdulaziz 1
able 2
about 1
act 1
action 2
adopted 1
advance 1
after 4
again 1
against 1
agent 1
agents 1
aim 1
alan 1
alerting 1
alex 39
all 1
allow 1
almost 1
along 2
alrahim 1
also 3
although 1
american 2
an 8
and 30
another 1
antibritish 2
any 1
approaching 1
are 9
ariston 1
arm 1
arrested 1
arriving 1
arts 1
as 16
asked 1
asks 1
assassin 2
assassinate 1
assigns 1
at 4
attaches 1
attack 1
attacked 1
attempting 1
attention 1
avoid 1
away 3
back 1
ball 1
barn 1
bars 1
be 6
because 1
been 3
before 2
begin 1
begins 2
being 5
believe 1
believing 1
below 1
best 1
better 1
between 1
billionaire 1
blackmail 2
blacks 1
blanc 2
blown 1
blunt 4
board 1
body 4
bomb 1
booby 1
both 1
boxers 1
break 1
bridge 1
britain 2
british 3
bryne 1
build 1
but 6
by 14
byrne 2
cairo 9
called 1
cancer 1
cannot 1
capture 1
car 2
cause 1
cell 1
certain 1
chance 1
change 1
chase 1
chases 1
children 1
cia 3
cigarette 1
claims 1
clamor 1
cliff 1
clones 1
code 1
codenamed 1
coherent 1
college 1
come 3
confident 1
connected 1
contains 1
coordinate 1
crashing 1
crowd 1
crushed 1
culminating 1
dare 1
days 1
dealer 1
death 3
decides 3
decries 1
demands 1
derek 1
desert 2
detonates 1
devices 1
did 1
die 1
discovers 1
disgraceful 1
disguised 1
distracts 1
dives 1
do 2
doormat 1
down 2
draw 1
drive 1
drives 1
driving 1
due 1
dummy 1
duplicate 1
education 1
edward 1
egypt 1
egyptians 1
elgin 3
emotional 1
emotionrecording 1
enabling 1
ending 1
england 1
enough 2
entire 1
erik 1
escape 2
escaping 1
eventually 1
ever 1
everyone 1
exchange 1
explains 3
explanation 1
explosives 1
expose 2
eye 1
face 1
faked 1
falls 2
family 1
fat 1
father 1
feels 1
file 2
find 1
finds 3
fire 1
fired 1
first 1
floating 2
follows 2
for 12
forming 1
fort 3
found 5
free 1
french 1
frenzy 1
friend 2
from 7
front 1
gadget 1
gates 1
get 4
gets 1
gibraltar 1
give 1
given 1
gives 2
go 1
goes 1
gold 1
goodbye 1
government 1
grassy 1
greece 2
greek 1
grief 3
group 2
guard 1
guardian 1
guards 1
gun 5
gunter 5
half 1
halves 1
handle 1
happen 1
harris 1
has 8
have 4
he 23
head 1
helicopter 1
hellbent 1
help 1
hence 1
her 6
herself 1
hidden 2
hide 1
him 21
himself 2
hired 1
his 16
hit 1
home 1
horseman 1
hostage 1
house 2
however 5
hugo 1
identity 1
if 1
immobilizes 1
in 30
incident 1
including 1
information 1
initially 1
inside 2
instantly 1
instead 1
instructions 1
international 2
into 4
investigate 1
irate 1
irishman 1
is 37
issue 1
it 7
itching 1
jack 6
job 1
joe 1
joint 1
jones 2
julius 14
just 2
keep 1
kidnapped 2
kill 2
killed 3
killing 3
kilograms 1
kinds 1
kingdom 1
knife 1
knock 1
known 1
knows 1
kroll 2
kurst 4
land 2
landing 1
last 2
late 1
later 1
leader 1
leading 1
leads 2
leave 1
leaves 1
leaving 1
levi 1
library 1
like 1
list 1
live 1
locate 1
location 1
lookalike 1
looked 1
lose 1
main 1
make 1
making 1
manages 1
many 1
marbles 3
mark 1
market 2
means 1
measurable 1
meets 1
member 2
members 2
met 1
mi6 6
might 1
million 1
mission 3
missions 1
mole 1
moment 1
most 1
mrs 2
much 1
museum 1
mysterious 2
naming 1
ndash 1
nearbythis 1
neck 1
need 2
new 2
next 1
nick 1
no 2
nose 1
not 1
note 1
novel 1
of 27
off 2
old 1
on 8
one 4
opens 1
opportunity 1
opposed 1
or 3
order 4
ordering 1
organises 1
other 1
out 9
over 2
packet 2
pain 4
part 1
people 1
physically 1
pile 1
pilot 1
plan 3
planning 1
pleasure 2
point 2
policeman 1
poses 1
posing 1
powder 1
presence 1
pretends 1
previously 1
prison 1
promised 1
properly 1
protect 1
provide 1
pyschiatrist 1
quickly 1
razim 9
really 1
recognized 1
released 1
remaining 1
remotecontrolled 1
removed 1
reputation 2
request 1
required 1
requires 1
responsible 1
rest 1
retiring 1
return 1
returned 2
revealing 1
reveals 1
revenge 1
rifle 1
river 1
road 1
rolling 1
room 1
rover 2
ruin 1
ruining 1
rushes 1
sabina 1
sahara 1
salt 1
says 2
school 2
schoolboy 1
scientists 1
scorpia 11
scorpion 1
screen 1
second 1
secret 1
secretary 3
security 2
sees 1
selket 1
sells 1
send 2
sent 3
several 1
sewers 1
she 2
shootout 1
shot 8
should 1
side 1
since 1
skinny 1
slips 1
slowly 1
smithers 4
sneaking 1
sniper 7
so 4
society 1
someone 1
somethings 1
soon 1
speech 2
split 1
splits 1
spy 2
starbright 1
start 1
starts 1
state 3
steal 1
steals 1
stings 1
stolen 1
stopped 1
streets 1
strips 1
studying 1
subject 3
suggests 1
suit 1
sure 1
suspect 1
suspicion 1
take 2
taken 3
taking 1
target 1
taskforce 1
teenager 1
thames 2
that 10
the 76
their 2
them 1
then 7
there 1
they 7
thirties 1
this 10
threat 1
threatening 2
through 2
ties 1
time 3
to 71
told 1
tom 1
too 1
top 1
torture 1
torturing 2
trapped 1
trauma 1
try 1
turns 1
two 1
ultimately 1
unbeknownst 1
unit 1
united 1
unless 2
unlike 1
up 6
use 2
used 1
verge 1
visit 1
visitors 1
was 5
watching 1
waterboarded 1
way 2
weak 1
wealthy 1
weapons 1
wearing 1
well 1
what 3
when 6
where 9
which 6
while 1
whilst 1
who 14
whose 1
will 8
wish 1
with 17
wont 1
word 1
work 1
worked 1
works 1
world 1
would 1
wouldnt 1
wounds 1
xenopolos 1
yannis 1
zeljan 1
