3721827
/m/09x765
/m/09x765
Paul Fleischman
1995-10-02
a 10
able 1
about 1
accidentally 1
accuse 1
adult 1
aging 1
ago 1
all 2
also 2
although 1
an 1
and 14
are 3
arrange 1
as 2
asleepeats 1
at 1
attempt 1
attention 1
away 1
back 2
beat 1
beautiful 1
became 1
because 2
become 2
becomes 1
bed 1
begin 1
being 2
believe 1
bladder 1
brooke 4
but 1
by 1
changes 1
charity 1
chase 1
cherry 1
cliffside 1
complain 1
complains 1
complaints 1
completely 1
conjure 1
cut 1
danielle 6
determined 1
develops 1
diapers 1
did 1
does 2
doing 1
drew 5
dying 1
elderly 1
enough 1
eventually 1
every 1
example 1
exchange 1
faster 1
fiction 1
finally 1
for 6
force 1
forcing 1
foreign 1
friend 1
from 1
getting 1
ghost 2
girl 1
girls 8
go 1
grabs 1
granddaughter 2
grant 1
hair 3
happy 1
he 1
hearts 1
helga 9
her 13
high 3
holds 1
home 1
horrified 1
horror 1
hospital 1
however 2
huns 1
husband 1
if 1
in 7
injected 1
insanely 1
instead 1
interested 1
into 2
is 5
it 2
jealous 1
just 1
kill 1
killed 1
killing 1
known 1
knuckles 1
light 1
like 1
limp 1
liver 1
long 1
losing 2
making 2
malicious 1
many 1
meet 1
mercy 1
mess 1
move 1
mrs 4
named 1
next 1
night 1
norway 1
not 2
notice 1
numerous 1
nursing 1
of 10
off 1
older 1
on 1
only 1
other 1
pain 1
pale 1
paralysis 1
paralyzed 1
park 1
parody 1
plugged 1
popular 1
popularity 1
potion 1
practically 1
privileged 1
problem 1
problems 1
punishment 1
rapidly 1
realize 1
reason 1
reveals 1
same 1
says 1
school 3
septuagenarians 1
severe 1
she 4
shoot 2
skin 2
slowly 1
so 1
some 1
soon 1
spotlight 1
spots 1
steals 1
strong 1
stud 1
student 1
suffering 1
talks 1
taunts 1
teeth 1
tells 1
that 4
the 18
their 5
them 3
then 1
they 10
thing 1
think 1
this 1
thought 1
three 1
tiffany 3
time 1
to 13
too 1
torture 1
tries 1
truffles 1
try 1
tubes 1
typical 1
up 3
used 1
visit 1
was 3
way 1
ways 1
wear 1
when 2
while 2
will 1
win 1
winds 1
witt 4
woman 1
wonderful 1
young 1
