1319473
/m/04sknr
/m/04sknr
David Brock
2004-05-18
a 2
and 6
are 1
as 4
barry 1
believes 1
brock 4
but 1
by 2
concoct 1
conservative 3
conventional 1
corporate 1
details 1
disseminate 1
distortions 1
echoed 1
emphasized 1
for 2
foundation 1
fox 1
funding 1
goldwater 1
ground 1
heritage 1
hero 1
impartiality 1
in 1
industry 1
journalists 1
lies 1
limited 1
lobbyists 1
mainstream 1
media 2
more 1
narrative 1
news 3
not 2
objectivity 1
of 3
on 1
only 1
outright 1
points 1
predicated 1
product 1
propagandists 1
radio 1
republican 1
rightwing 1
says 1
serve 1
set 1
smears 1
sources 1
standards 1
strategists 1
strategy 1
subsequent 1
such 2
talking 1
tanks 2
the 6
then 1
think 2
time 1
to 2
training 1
tutors 1
which 1
who 1
