7347490
/m/025zv1c
/m/025zv1c
Katherine Kurtz
1994
28 1
a 11
about 2
accompanied 3
accompany 1
actions 1
activate 1
activating 2
actually 1
after 3
afterwards 1
agree 1
agrees 2
albertus 4
alerting 1
alive 1
all 1
allows 1
alters 1
although 1
an 1
and 34
ansel 1
anything 1
approximately 1
arcane 1
archbishop 1
ariella 1
armed 1
army 6
arrive 1
arrives 2
arriving 1
as 5
asks 1
assistance 1
assists 1
at 3
atop 1
attacking 1
attacks 1
attempts 2
band 1
bastard 2
battle 2
be 2
become 1
becomes 1
been 3
bees 1
before 6
begins 1
behalf 1
body 1
both 1
break 1
breaks 1
brief 1
briefly 1
brother 2
but 7
by 8
camberian 4
capital 1
capture 1
castle 1
catches 1
cathan 7
challenge 1
child 1
city 1
claibourne 1
claims 2
codicil 1
collaborator 1
commands 1
companion 1
compulsions 1
concerned 1
condition 1
confine 1
confront 1
constable 1
continue 1
convent 1
conversation 1
convince 1
corban 1
council 5
crimes 1
crown 1
crowned 1
crypt 1
culliecairn 1
day 4
days 2
death 3
deathtrigger 1
december 1
departing 1
departs 2
deryni 5
despite 1
destroys 1
did 1
dies 1
dimitri 7
disguised 1
does 1
dom 1
drugged 1
drummond 1
duke 1
earl 6
eastmarch 4
engage 1
enough 1
events 1
eventually 3
family 1
father 2
fight 1
first 1
flees 1
following 2
for 6
forced 1
forces 1
former 2
free 1
freeing 1
from 2
funeral 1
furstnfestil 1
go 1
graham 4
great 4
gwynedd 3
haldane 4
hand 1
happen 1
has 5
have 1
he 7
heirs 1
help 1
her 7
herald 1
him 2
himself 3
his 16
horse 2
horthy 1
hostage 1
hours 1
howell 1
hrorik 2
hubert 1
husband 1
if 1
ii 1
ill 1
implicated 1
imprisoned 3
imre 1
in 14
incidents 1
infiltrate 1
informs 1
injury 1
inside 1
invasion 4
involved 1
is 12
it 4
joined 1
joram 4
journey 1
kill 1
killed 4
kills 3
kinevan 1
king 18
lady 1
lashes 1
last 1
late 2
later 5
learns 1
leaves 1
led 1
levies 1
limited 1
live 1
lochalyn 1
long 1
lord 1
lords 8
macinnis 2
macrorie 2
magic 1
magical 1
maids 1
manfred 3
marek 5
marley 1
master 1
may 1
medical 1
meet 2
meets 1
members 1
men 1
mental 1
michael 14
michaela 7
miklos 6
mind 4
months 2
morning 2
must 1
mysteriously 1
nearly 1
new 1
next 4
night 1
northern 3
not 2
novel 1
now 1
objections 1
occupied 1
of 37
offers 2
office 1
on 5
one 1
only 1
or 1
orders 1
ostrythe 1
out 1
over 1
overcome 1
owain 4
own 4
parleys 1
parties 1
party 1
paulin 3
peace 1
period 1
permit 1
personally 1
plan 1
plans 1
poor 1
potential 2
powers 8
prepares 1
prince 4
princess 1
private 1
probe 1
progress 1
protect 2
puppet 1
pursues 1
queen 1
queron 2
questions 1
quickly 2
realize 1
realizes 1
regency 1
regents 3
reign 1
relatives 1
remains 1
respond 1
returning 1
returns 2
rhemuth 7
rhun 6
rhys 14
rhysel 6
ride 1
rights 1
ritual 1
royal 4
ruler 1
rumored 1
rushes 1
saint 1
secretly 1
securing 1
see 1
sent 1
serves 1
serving 1
set 1
several 4
should 1
side 1
sighere 4
signing 1
sinclair 1
sir 1
sister 1
six 2
slain 1
slay 1
slowed 1
son 1
soon 1
span 1
spent 1
spook 1
state 1
steps 1
still 1
stop 1
stripped 1
succeed 2
succeeded 1
sudrey 5
support 1
supported 1
swarm 1
takes 1
tammaron 2
that 4
the 76
their 2
them 1
then 1
they 1
thuryn 2
tieg 5
time 1
to 31
tomb 2
too 1
torenth 2
torenthi 3
tortured 1
toward 1
tower 1
town 1
treatment 1
two 1
udaut 2
unblocks 1
uncle 1
under 1
use 1
used 1
uses 3
visits 1
von 1
was 2
when 5
where 2
while 1
who 3
widow 1
will 1
with 10
withdraws 1
without 1
word 1
working 1
worsening 1
wounded 1
years 1
