20505716
/m/04z_jyw
/m/04z_jyw
Fiona McIntosh
2008-09-01
a 4
abilities 1
accepts 1
adopted 1
aegis 1
aide 3
allowed 1
an 2
and 14
animal 1
are 2
arrives 1
as 1
at 3
attempt 1
away 1
barbarian 1
bare 1
barronel 1
be 2
becomes 1
been 3
before 2
begins 1
betrays 1
birth 1
bonded 1
both 1
brain 1
brennus 5
brother 1
by 1
called 1
capture 2
captured 1
care 1
chooses 1
choosing 1
claim 1
clear 1
clovis 1
coercion 1
corbel 3
cunning 1
cyrena 1
dara 1
daughter 2
de 2
deceased 2
declares 1
descending 1
descends 1
distaste 1
eat 1
elka 1
engaged 1
escape 1
ever 1
exile 1
fall 1
family 1
faris 1
father 1
fathers 1
fearful 1
find 1
finding 1
finds 2
for 1
forced 1
freath 4
from 3
gained 1
gathering 1
gavriel 6
genrie 2
given 2
good 1
granted 3
had 1
hands 1
has 3
have 1
he 7
heir 2
her 3
hesitance 1
highwayman 1
him 2
himself 1
his 14
household 1
husbands 1
if 1
illusive 1
in 5
into 1
is 16
iselda 1
iseldas 1
it 3
its 1
joins 1
killed 2
kilt 1
king 2
kirin 1
later 5
learns 1
legate 1
leo 5
leonel 1
leprosy 1
likening 1
liking 1
likurian 1
lily 2
loethar 9
love 1
lover 1
loyal 1
magic 1
marked 1
meanwhile 1
meets 1
memories 1
mothers 1
much 1
mysterious 2
name 1
needs 1
negev 1
neighbours 1
newly 1
no 1
now 1
of 19
on 1
only 1
order 1
out 1
ownership 1
pair 1
passageways 1
penraven 7
people 1
piven 1
plan 1
pledge 1
position 1
power 2
protecting 2
prove 1
queen 3
quick 1
really 1
realm 1
regor 3
remains 1
remind 1
renegade 1
revealed 1
royal 1
said 1
search 1
secret 1
seek 1
sees 1
separated 1
sergius 1
servant 1
set 1
she 1
side 1
sights 1
sister 1
slain 1
solitude 1
son 2
sons 1
special 1
stating 1
steppes 1
stone 1
stop 1
stopping 1
suffering 1
takes 1
taking 1
task 1
that 6
the 22
themselves 1
they 1
though 2
thus 1
to 22
true 1
truth 2
turn 1
twin 2
two 1
under 1
unrequited 1
upon 1
uses 1
valisar 2
valisars 1
valya 1
valyas 1
vested 2
vis 2
vow 1
warlord 1
was 1
watch 1
which 2
whisk 1
who 7
whom 1
wing 1
with 8
within 2
witness 1
wonders 1
working 1
would 1
young 1
