3608696
/m/09pp6l
/m/09pp6l
Isabel Allende

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1840s 1
a 22
able 1
about 3
across 1
acupuncturist 1
additional 1
affair 1
after 3
alive 2
although 1
america 1
an 4
and 27
andieta 3
anglican 1
any 1
apprenticeship 1
are 3
arrival 1
art 1
articles 1
as 7
asks 1
at 1
babalu 1
back 1
bandit 1
based 1
be 3
becomes 1
beginning 1
begins 2
being 1
believe 1
bodyguard 1
bonecrusher 2
book 1
bowels 1
boy 1
brief 1
broke 1
brothels 1
brother 2
business 1
but 1
by 5
california 4
cannot 1
captain 2
caravan 2
caraven 1
chien 1
chile 2
chilean 4
china 1
chinese 3
claiming 1
colonists 1
comes 3
commissioned 1
company 1
concealed 1
concerned 1
consoled 1
cook 1
cooking 1
couple 1
cowboy 1
crucial 1
cruz 1
daughter 1
de 1
dead 2
decides 1
describing 1
description 1
dies 1
disappeared 1
discovered 1
disguise 3
disguises 1
doorstep 1
due 1
during 4
dutch 1
dwindle 1
early 1
earns 1
educated 1
elias 1
eliza 24
employer 1
ends 1
english 1
escape 1
eventually 3
ever 1
faith 1
fallen 1
falls 1
famous 1
father 1
find 2
finding 1
finds 2
follow 1
for 5
form 1
fortune 1
foster 1
found 1
frail 2
francisco 6
freemont 3
fresia 1
friend 1
friends 1
from 2
frustration 1
getting 1
girl 2
go 1
goes 2
gold 1
greed 1
group 1
had 1
has 2
have 3
having 1
he 6
head 1
headed 1
help 4
her 13
him 1
himself 1
his 9
home 1
homosexual 1
husband 1
i 1
if 1
ii 1
iii 1
illfated 1
in 22
indian 1
inform 1
intent 1
into 1
intuition 1
is 12
jacob 3
jeremy 3
joaquin 9
joe 2
john 6
journalist 1
journey 3
journeying 1
katz 1
known 1
la 1
landed 1
later 3
leave 1
letters 2
life 1
lin 2
live 1
living 2
look 1
loses 1
love 2
lover 2
lutheran 1
maintains 1
male 1
mama 1
man 3
mapuche 1
marriage 2
master 1
matches 1
maturity 1
meanwhile 2
meets 1
members 1
miscarriage 1
misses 1
money 2
moniker 1
most 2
mother 2
move 1
moves 1
much 1
murieta 2
network 1
news 1
now 1
occasionly 1
of 18
old 1
on 3
origins 1
out 3
outskirt 1
over 1
part 3
parts 1
pass 1
past 1
paulina 1
physician 1
piano 1
player 1
points 1
port 1
poverty 2
pregnancy 1
pregnant 1
preserved 1
pretty 1
previously 1
promises 1
prostitutes 2
raised 1
reaches 1
realises 1
really 1
receiving 1
rehabilitate 1
relationship 1
resulting 1
returns 1
revealed 1
reveals 1
rodriguez 1
rose 5
sailor 1
sails 1
san 6
save 1
search 3
secret 2
see 1
seeing 1
sees 1
selling 1
sends 1
set 1
sets 1
settle 1
she 9
ship 3
shocked 1
shocking 1
shot 1
showcased 1
siblings 1
sick 1
sign 1
since 2
small 1
snacks 1
some 1
sommers 6
soon 1
spinster 1
spirit 1
stays 1
steam 1
still 1
stop 1
strict 1
successful 1
suffers 1
suitor 1
surprises 1
suspicion 1
takes 1
tao 11
taught 1
that 6
the 23
their 3
them 1
they 4
this 1
thought 1
time 1
to 32
todd 1
together 1
told 1
town 2
travelling 2
trying 1
ultimately 1
unnamed 1
up 5
upbringing 1
using 1
valparaiso 2
victorian 1
vincent 1
wanting 1
was 2
wealthy 1
wellkept 1
what 1
when 4
where 1
whereabouts 1
which 1
who 5
whose 1
widowed 1
will 1
winter 1
with 11
without 1
woman 1
word 1
write 1
writes 1
yi 2
young 5
zhong 2
