9538646
/m/02pj8dt
/m/02pj8dt
Barbara Pym

a 4
action 1
against 1
agrees 1
and 3
another 1
antecedents 1
apart 1
are 1
as 1
assistant 1
attracted 1
backdrop 1
been 1
begins 1
being 1
broome 1
by 1
candidates 1
cares 1
charms 1
churchgoers 1
circumstances 1
comfortable 1
community 1
concerns 1
doubtful 1
down 1
falls 1
family 1
for 3
friends 1
from 1
group 1
hand 1
has 1
her 3
herself 1
him 2
his 1
holiday 1
how 1
ianthe 5
in 1
is 1
it 1
john 1
late 1
left 1
librarian 1
library 1
life 1
long 1
makes 1
man 1
member 1
money 1
more 1
much 1
new 2
no 3
notably 1
of 7
on 1
one 1
other 1
parents 1
penelope 1
place 1
plot 1
proposal 1
realise 1
really 1
recognise 1
return 1
rome 1
rupert 2
scandalizing 1
settle 1
she 3
shortage 1
sightseeing 1
some 1
spare 1
stonebird 1
suitable 1
surprises 1
takes 1
taking 1
than 1
the 6
their 1
there 1
they 1
to 5
together 1
wellbred 1
when 1
where 1
who 1
with 1
woman 1
young 2
