10375116
/m/02q9t01
/m/02q9t01
Neal Shusterman
2001-02-01
5000 1
a 20
abandoned 1
about 3
action 1
actually 2
adapted 1
advisors 2
africa 1
after 8
again 2
ago 1
alfred 1
all 2
allowed 2
almost 1
alone 1
also 1
an 5
and 24
angry 1
anyone 1
aqueduct 1
are 5
area 1
arises 1
as 6
ask 1
at 7
atop 1
back 2
be 5
beach 2
bear 1
become 1
been 2
beginning 1
behavior 1
being 2
beloved 1
blamed 1
boardwalk 1
book 1
both 1
boy 1
brass 1
brings 2
but 2
by 3
called 2
carries 1
causing 1
cave 1
celebration 1
chamber 4
channel 1
city 3
collapses 1
comes 2
comfort 1
coming 1
community 1
coney 1
console 1
conversation 1
could 2
created 1
curious 1
daughter 1
dead 1
death 1
decide 1
demands 2
destroyed 1
did 1
discovering 1
disney 1
do 4
does 1
down 2
downside 16
downsider 1
downsiders 6
downtown 1
dump 1
each 1
early 1
easily 1
either 1
electricitygasand 1
ely 1
events 1
executing 1
exiting 1
experiencing 1
explosion 2
extreme 1
fallers 1
father 2
feels 1
felt 1
festival 1
find 1
finds 1
first 4
following 1
for 7
forgotten 1
former 1
forward 1
fourteenyearold 2
friend 1
friends 1
from 3
gathered 1
get 1
girl 2
gives 1
government 1
grave 2
grettel 1
ground 1
guard 1
guards 3
gutta 2
half 1
hall 2
happening 1
hard 1
has 4
having 1
he 13
heads 2
heard 1
helps 1
her 4
highside 1
him 4
himself 1
his 6
home 2
hoping 1
hospital 2
hot 1
hours 1
however 4
if 1
impales 1
in 12
include 1
included 1
info 1
information 3
instead 1
into 3
inventor 1
is 14
island 2
it 4
its 1
journal 1
junction 1
just 1
keep 1
kids 1
killed 1
knocked 1
knocking 1
know 2
knowing 1
known 1
labled 1
large 1
lately 1
later 2
leader 1
leaves 4
left 1
let 3
library 1
life 2
lindsay 14
living 1
load 1
located 1
long 1
lurches 1
mark 2
matthias 2
mayor 1
meanwhile 3
meet 2
meets 2
mental 1
midst 1
moment 1
months 1
more 1
morning 1
most 2
mostbeloved 3
mother 1
moved 1
movie 1
name 1
named 1
nativeborn 1
neal 1
never 3
new 3
none 1
not 3
notably 1
noticing 1
now 2
null 1
nyc 1
of 13
off 1
on 8
once 2
one 1
onehundred 1
only 2
or 1
order 1
orders 2
origin 1
origins 1
orphanage 1
other 1
out 6
outages 2
over 3
owns 1
panic 1
panicking 1
papers 1
party 1
passes 1
people 1
per 1
person 1
piece 1
pipe 1
plan 2
point 1
professor 1
progress 1
punish 1
pursuit 1
quickly 1
railborn 5
rather 1
ratted 1
raymond 1
read 1
realizes 1
receive 1
released 2
remain 1
resignation 2
result 1
returns 1
reveal 1
rhino 1
rights 1
ritual 1
rituals 1
rock 1
rocky 1
runes 2
rushes 2
same 1
save 1
saw 1
screen 1
script 1
sealed 1
secret 1
seeing 2
seek 1
sees 3
sent 1
sentence 1
sequel 1
several 1
shaft 1
share 1
she 2
should 1
shusterman 1
shut 1
signs 1
skinner 1
skyscraper 1
sneaks 1
soft 1
soon 1
speedup 1
spills 1
state 1
stop 2
strange 2
stress 1
study 1
suggests 1
surface 3
survives 1
swearing 1
system 1
takes 1
talking 1
talon 24
tells 4
tempting 1
than 2
that 9
the 78
their 1
them 3
themselves 1
then 1
there 3
they 6
things 1
this 4
though 1
thought 1
three 1
through 1
time 4
times 1
to 36
too 1
top 1
topside 8
topsiders 4
townhouse 1
travel 1
travels 2
tries 1
trouble 1
truck 1
try 1
tunnel 1
tv 1
two 1
unconsicious 1
under 1
underneath 1
ungratefulness 1
until 3
up 5
upon 1
utilities 3
version 1
walls 1
ward 1
wards 1
was 2
water 1
went 1
what 5
when 1
where 1
which 3
while 2
white 1
who 9
will 3
winds 1
wise 2
with 4
work 1
workers 1
working 1
works 1
would 1
year 1
years 2
yet 1
york 1
yorkers 1
