2590110
/m/07q42h
/m/07q42h
Peter Goldsworthy
1989
a 9
ability 1
about 1
absurd 1
additionally 1
adolescence 2
adolescent 1
adolf 1
adult 1
advice 1
after 1
again 1
also 3
an 4
and 23
appreciate 1
are 2
arm 1
as 8
assisting 1
at 1
attitudes 1
become 2
becoming 1
before 1
began 1
beings 1
belief 1
believe 1
believing 2
beneath 2
bible 1
bond 1
book 2
boozers 1
boy 1
but 4
by 5
called 1
can 1
change 1
changes 1
character 1
clippings 1
come 1
comes 1
completely 1
concerts 1
conclusion 1
connection 1
continual 1
contradictory 1
contrasts 2
contribute 1
country 1
crabbe 1
cruelty 1
culture 2
darwin 1
day 2
dead 1
deal 1
deals 1
dearly 1
death 2
deconstructing 1
depicting 1
depicts 1
despite 1
develop 1
develops 1
differ 1
different 2
disappeared 1
discussing 1
does 2
during 1
eduard 3
educated 1
effects 1
egotism 1
egotistical 1
end 1
enough 1
eventually 1
everyone 1
evolves 1
exempt 1
experiences 1
family 2
father 1
fellow 1
filled 1
final 1
first 2
foolish 1
foolishness 1
for 6
form 1
frivolities 1
from 7
glow 1
grand 2
granted 1
great 1
greed 1
growing 2
grown 1
grows 1
growth 1
had 2
has 3
he 9
head 1
heart 1
high 1
him 7
himself 1
his 18
hitler 2
holocaust 1
horrors 1
how 2
human 3
i 2
id 1
idea 1
if 1
impressions 1
in 8
incandescent 1
influential 1
initially 1
insufferable 1
into 3
irritating 1
is 5
jewish 1
keller 16
kind 1
kissed 1
knew 1
knowledge 2
learning 1
learns 1
leaving 2
lessons 1
life 5
like 2
likewise 1
limits 1
lost 2
loving 1
low 1
maestro 5
main 2
man 4
mature 1
matures 2
method 1
middleage 1
misleading 1
most 1
mother 1
mourning 2
music 1
musical 2
musician 1
my 1
myself 1
narrator 1
nature 2
never 1
newspapers 1
not 2
nothing 2
novel 2
novella 1
now 1
obnoxious 1
of 16
offering 1
onto 1
opportunities 1
or 1
originates 1
ossify 1
other 1
our 1
own 1
passed 1
patch 1
paul 20
performing 1
phrasings 1
piano 3
possibilities 1
presented 1
private 1
protagonist 1
realisation 2
realises 1
regret 2
relate 1
relationship 1
remorse 1
renowned 1
represent 1
responsible 1
rosie 1
safe 1
same 1
sanctity 1
security 1
seemed 1
seen 1
selfishness 1
shifts 1
shown 1
slipped 1
slowly 1
smug 1
so 2
society 1
some 1
son 1
spare 1
starts 1
stories 1
sweetheart 1
talent 1
taught 1
teacher 2
teenager 1
textbooks 1
texts 1
that 6
the 28
them 1
themes 2
therefore 1
they 2
this 1
thousands 1
through 3
throughout 3
times 1
to 11
together 1
tone 1
took 1
touch 1
towards 1
tracks 1
transforms 1
tried 1
two 1
understand 1
understanding 2
understands 1
unexpressed 1
until 1
up 1
versions 1
vienna 3
visible 1
vs 1
war 1
warmer 1
was 3
we 1
well 1
were 1
when 1
where 1
which 1
whose 1
wife 1
will 1
wisdom 1
with 6
world 2
would 1
write 1
yes 1
