5405937
/m/0dkdk_
/m/0dkdk_
Marc Platt

{"/m/014dfn": "Speculative fiction"}
10s 1
a 26
about 1
access 1
ace 20
aces 1
across 3
admits 1
adults 1
after 1
again 2
against 1
alien 1
all 1
allows 1
alone 1
already 1
also 2
an 4
ancient 2
and 33
appears 1
approaches 1
architectural 1
are 9
arrival 2
arrive 2
artificially 1
as 9
at 4
attic 2
avert 1
away 1
back 6
backup 1
banks 1
banshee 2
barren 1
be 5
bear 1
become 1
becomes 2
been 3
before 3
begin 1
beginning 1
begins 5
believes 1
believing 2
betrayed 1
betrays 1
bigger 1
blame 1
blue 1
born 2
both 1
box 1
breaks 1
breath 1
bring 1
broadway 1
burns 1
but 12
by 13
caf 1
can 5
captain 1
capture 1
cat 5
caught 1
cause 1
causing 1
challenge 1
challenges 1
changes 1
chases 1
children 1
chronauts 6
circuits 2
cities 1
city 2
civilization 1
clear 1
cocoon 1
collapse 1
collides 2
come 2
comes 1
coming 2
comrade 1
concludes 1
condition 1
configuration 1
console 2
contain 1
convinced 1
craft 1
creature 1
crew 2
crossroads 1
cult 1
curses 1
damaged 1
data 2
dead 1
death 1
descend 1
desert 1
designed 1
destroy 1
destroyed 2
destroys 1
destruction 1
detected 1
died 1
different 1
discover 2
discovered 1
discovers 1
discrete 1
disruption 1
distorted 1
disturbed 1
do 1
doctor 19
doctors 5
domination 1
door 1
down 1
drags 1
dumped 1
during 1
dying 1
ealing 1
earlier 1
early 2
egg 2
eliminate 1
elsewhere 1
encounters 1
end 1
enjoying 1
enslave 1
enslaved 2
entire 1
escape 2
escapes 1
established 1
even 1
ever 1
exist 1
existing 1
exists 1
experiment 1
experiments 2
extending 1
failsafe 1
fall 1
fanatically 1
far 1
fellow 1
field 1
fight 1
find 1
finds 2
for 2
force 1
forced 1
forget 1
former 2
from 6
fruit 1
future 4
gaining 1
gallifrey 7
gallifreyan 2
get 2
ghost 2
ghostlike 1
given 1
gives 1
glows 1
goes 1
good 1
gray 1
grey 1
greyprints 1
grieve 1
ground 1
guards 7
had 2
hand 2
hands 1
happened 1
has 5
he 7
help 2
her 15
herself 1
hes 1
highly 1
him 5
his 10
history 1
hollow 1
hurtling 1
image 1
immediately 1
imprisoned 1
in 14
infiltrated 1
influence 1
information 1
inner 1
insectlike 2
inside 2
intends 1
interacting 1
interrogates 1
interrupted 1
into 4
intruder 1
invaded 1
investigate 1
is 19
issues 1
it 6
its 2
jumps 1
key 1
killed 2
kind 1
knew 1
know 1
lacks 1
landscape 1
larger 1
last 1
latest 1
leads 2
leaves 1
leaving 1
legends 1
lifespan 1
little 1
locating 1
longer 1
look 1
lunch 1
lurking 1
male 1
man 1
manage 1
manages 1
manifestation 1
many 1
massive 1
meanwhile 1
measure 1
meet 1
memories 4
mercury 1
mind 3
moments 1
monster 1
moonlike 1
much 1
must 2
named 1
new 1
no 4
not 1
now 5
object 1
obsessed 2
obtained 1
occupied 1
of 31
old 2
older 4
on 8
once 1
one 2
opposition 1
ordeal 1
other 1
out 3
outside 1
over 1
own 2
parchment 2
past 1
pattern 1
pekkary 1
phazels 10
place 1
political 1
power 1
powers 2
predicament 1
prepares 1
present 1
primitive 1
privately 1
process 16
processes 1
processs 2
promised 1
prophetic 1
protected 1
protecting 1
psychic 1
pyrokinetic 1
pythia 4
pythias 1
quiet 1
rassilon 4
rassilons 1
reaching 1
reality 2
realizes 3
reason 1
receive 1
recklessly 1
recognizes 2
reign 1
releases 2
remains 1
remembered 1
remembers 2
reogus 2
restart 1
restored 1
restores 1
return 1
returns 1
revolution 1
right 1
river 2
room 1
ruler 1
safeguard 1
same 1
scaphe 2
search 1
seems 1
sees 1
sends 1
sent 1
seriously 1
she 13
ship 3
ships 1
shonnzi 10
shonnzis 1
silver 2
sky 1
slowly 1
so 2
some 1
somewhere 1
sort 1
spacetime 1
specifically 1
sphere 1
split 1
spontaneously 1
start 1
still 1
stolen 2
storage 1
stranded 2
strange 1
stretching 1
successful 1
successor 3
such 1
suddenly 2
summoning 1
surface 1
suspends 1
systems 2
take 1
takes 1
tardis 13
tardiss 2
tells 3
than 2
that 16
the 139
their 2
them 6
then 2
there 6
they 4
things 1
this 2
though 1
three 2
through 2
time 9
to 45
top 2
toward 2
tower 6
transforms 1
trap 1
travel 1
trips 1
trying 2
turn 3
turning 1
turns 1
ultimate 1
until 1
up 2
use 1
used 1
uses 2
using 1
vael 12
vague 1
vanishes 1
venerable 1
version 1
walk 1
was 5
watch 6
way 1
well 1
were 1
what 1
when 3
where 3
which 6
while 2
who 6
whole 1
why 1
will 1
with 7
without 1
witnesses 1
work 2
world 11
young 3
younger 2
youth 1
