2581531
/m/05qbbjr
/m/05qbbjr
Gene Wolfe
1981
a 34
absolute 4
accidentally 1
accused 1
actually 1
after 2
again 2
agia 4
alien 1
aliens 1
allows 2
also 1
altered 1
among 1
an 6
and 34
another 2
antechamber 1
are 5
area 2
arriving 1
art 1
as 6
asking 1
assassins 1
at 7
attack 1
attacked 3
attackers 1
attacks 1
attend 1
attraction 1
audience 1
autarch 2
authorities 1
away 1
baldanders 3
band 1
barely 2
bat 1
battle 1
be 4
becomes 1
becoming 1
been 3
being 3
beings 1
blood 1
book 4
brings 1
brother 2
but 6
by 14
can 1
captured 1
case 1
cave 4
chains 1
city 2
claw 4
combined 1
come 1
commonwealth 1
consume 1
continues 1
conversation 1
corridors 1
covered 1
crash 1
creature 3
crossroad 1
crowd 1
cut 3
dancers 1
dead 2
deliver 1
designed 1
desirable 1
diaturna 1
dinner 2
disappears 1
divided 1
does 1
doorseverian 1
dorcas 3
dr 2
dragged 1
dreamlike 1
during 1
earth 1
eating 1
emerging 1
encounters 2
ends 1
engage 1
enigmatic 1
enter 1
escape 2
escapes 2
evening 1
event 1
eventually 1
executed 1
executes 1
execution 1
executioner 1
fair 1
farmer 1
feeds 1
fill 1
find 1
finds 2
first 3
flesh 2
flies 1
flying 1
for 4
force 1
forced 1
found 1
free 1
friend 1
from 6
future 1
gardens 1
gate 2
get 2
ghostly 1
giant 1
given 2
gives 1
glimpses 1
go 1
gone 1
gorgeous 1
green 2
grinding 1
group 2
guards 1
had 5
hand 1
has 3
have 1
having 1
he 14
head 1
headed 1
heading 2
healed 2
heals 1
heard 1
heat 1
held 2
her 7
here 1
hildegrin 2
him 5
himself 2
his 11
hold 1
home 1
horror 1
house 4
human 1
ill 1
in 12
indefinitely 1
individuals 1
initiate 1
installment 1
instead 2
into 6
is 21
it 2
its 2
jolenta 4
jonas 6
journey 1
kill 1
killed 2
lake 1
landed 1
later 1
left 1
lets 1
letter 1
lieutenant 1
life 2
light 1
little 1
live 1
living 1
local 1
longer 1
lost 1
man 3
manapes 3
meet 1
meets 1
memories 1
memory 1
mercy 1
message 1
met 1
mirror 1
mob 1
more 1
morning 1
must 1
nearby 3
necessary 1
nessus 3
next 1
night 1
no 2
north 3
not 2
now 3
of 19
off 3
old 1
on 5
once 2
one 2
only 3
open 1
opportunity 1
order 1
out 2
outside 1
pair 2
part 1
participates 1
partly 1
pass 2
past 1
patrolling 1
pauses 1
people 1
perform 1
phrase 2
physician 1
piece 1
pity 1
play 2
plays 1
ponder 1
portal 1
possession 1
power 1
practice 1
preparing 1
previous 1
previously 1
priceless 1
prisoner 2
prisoners 1
promising 1
put 1
quickly 1
rage 1
recalling 1
recalls 1
receives 1
relic 1
religious 1
remembers 1
request 1
rest 1
return 1
returns 2
reunited 1
revealed 2
revealing 1
revived 1
revolutionary 1
robot 1
ruinous 1
saltus 2
saved 1
scattered 1
scientifically 1
search 1
searches 1
seat 1
secret 1
seems 1
seen 1
sees 1
separate 1
separated 1
servant 3
service 2
set 1
severian 28
she 1
short 1
shortly 1
shown 1
sickly 1
sideshow 1
skin 1
skipping 1
so 1
soldier 1
some 1
somewhere 1
soon 1
spend 1
steps 1
stone 3
stops 1
stumbling 1
stupor 1
substance 1
swears 1
swindle 1
sword 2
take 2
taken 1
takes 1
talos 4
task 1
tells 2
tent 1
that 6
the 63
thecla 5
them 4
then 4
there 1
they 7
this 2
thrax 2
three 1
through 2
thrown 1
thus 1
time 1
to 30
toward 2
town 5
traitor 1
traveling 1
tried 1
tries 1
trio 1
twin 1
two 1
unattractive 1
universe 1
unknown 2
upon 2
use 1
using 2
vodalus 5
waitress 1
wake 1
walking 1
was 2
ways 2
were 1
when 3
where 3
whetstone 1
which 3
who 8
whom 2
whose 1
witch 2
witches 2
with 11
within 2
woman 2
wound 2
