7693679
/m/02692pf
/m/02692pf
Stephen Woodworth
2004-12-28
1 1
a 6
accepted 1
ago 1
also 1
and 4
be 1
been 2
boy 1
by 2
callie 1
case 1
channels 1
collide 1
confirm 1
courtrooms 1
daughter 1
dead 1
death 1
discovers 1
employ 1
end 1
entering 1
even 1
examines 1
executed 1
falsifying 1
for 1
from 3
ghoulish 1
grappling 1
hannibal 1
hard 1
has 4
he 1
her 3
his 2
idea 1
impossible 1
institutionalized 1
introduce 1
is 3
it 2
job 1
killer 2
lecter 1
like 1
lindstrom 1
makes 1
meanwhile 1
might 1
mother 2
murder 1
natalie 2
needlepoint 1
not 1
of 1
on 2
other 1
parents 2
postmortem 1
prevent 1
previously 1
pulled 1
put 1
refuses 1
regularly 1
retired 1
ruthless 1
says 1
school 1
seem 1
separate 1
she 1
shooting 1
society 1
someone 1
something 1
son 1
stand 2
stop 1
stories 1
sunday 1
takes 1
teacher 1
teenage 1
testimony 2
than 1
that 3
the 13
their 1
though 1
thought 1
thresher 1
to 4
trial 1
trigger 1
viciousness 1
victims 1
violet 4
violets 1
visited 1
was 1
way 1
wealthy 1
wellknown 1
when 1
who 3
whose 1
with 1
work 1
working 1
years 1
