28924652
/m/0dgq1_q
/m/0dgq1_q
Gail Carriger
2010-09-01
0316074152 1
1 2
18414730 1
2 1
2010 5
2011 2
783442376513 1
a 2
abilities 1
actress 1
adulterer 1
against 1
alexia 3
also 1
alternate 1
an 3
and 7
anita 1
announced 2
answers 1
are 3
as 2
at 1
author 2
back 1
baldini 1
be 2
because 1
beings 1
birthplace 1
blameless 1
blanvalet 1
blending 1
books 3
but 1
by 7
can 1
capable 1
castoldi 1
center 1
children 1
class 1
community 1
complicated 1
considered 1
council 1
cover 2
covers 1
creative 1
date 4
dates 1
designed 1
director 1
discovered 1
disintegrate 1
dismissed 1
donna 1
dragon 1
drinking 1
each 1
ease 1
edition 2
editions 1
england 2
entflammte 1
estranged 1
even 1
family 1
fantasy 1
father 1
fathering 1
find 1
for 5
from 1
german 1
germany 1
has 1
her 7
heroine 1
herself 1
his 1
history 1
husband 2
ignited 1
imagine 1
in 6
increasingly 1
is 7
isbn 3
it 1
italian 1
italy 1
journey 1
lady 1
language 2
late 1
lauren 1
leaves 2
listed 1
lists 1
london 1
lord 1
maccon 2
meanwhile 1
members 1
model 1
more 1
moves 1
must 1
nacht 1
night 1
nirschl 1
no 1
not 1
novel 2
november 1
of 9
official 1
often 1
on 1
only 1
orbit 3
original 2
out 1
pain 1
panepinto 1
paperback 3
photograph 1
plus 1
poland 1
portraying 1
pregnant 1
press 1
productions 1
proszynski 1
pub 3
publication 2
publish 1
queen 1
released 1
ricci 2
scandal 1
seek 1
september 3
set 1
shadow 1
she 5
so 1
social 1
society 1
soulless 1
spanish 1
steampunk 1
structures 1
supernatural 1
support 1
taken 1
tarabotti 2
templars 1
than 1
that 2
the 17
therefore 1
these 1
this 1
tiny 1
to 6
translated 2
truth 1
turned 1
turns 1
uk 2
unaffected 1
unknown 1
upcoming 1
upper 1
urban 1
us 2
usa 1
vampire 1
vampires 1
version 1
verstil 1
victoria 1
victorian 1
was 2
website 1
welcomed 1
werewolf 1
werewolves 2
when 1
where 1
while 1
will 1
with 4
yen 1
